"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Name.subject","Rights.rightsHolderContact","Rights.servicesContact","Subject","Date.normalized","Title","Date.creation","Description.note","Bucketeer State","IIIF Access URL"
"ARPANET Project Notes","ark:/21198/zz002h2db5","ark:/21198/z1224fdg","","","Page","arpanet/image/pdf_images/21198-zz002h2db5-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224fdg"
"ARPANET Project Notes","ark:/21198/zz002h2dcp","ark:/21198/z1x93xxs","","","Page","arpanet/image/pdf_images/21198-zz002h2dcp-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x93xxs"
"ARPANET Project Notes","ark:/21198/zz002h2dcp","ark:/21198/z1sj368r","","","Page","arpanet/image/pdf_images/21198-zz002h2dcp-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj368r"
"ARPANET Project Notes","ark:/21198/zz002h2dd6","ark:/21198/z1nw14wf","","","Page","arpanet/image/pdf_images/21198-zz002h2dd6-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw14wf"
"ARPANET Project Notes","ark:/21198/zz002h2dd6","ark:/21198/z1j40d7b","","","Page","arpanet/image/pdf_images/21198-zz002h2dd6-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40d7b"
"ARPANET Project Notes","ark:/21198/zz002h2dd6","ark:/21198/z1db9nkz","","","Page","arpanet/image/pdf_images/21198-zz002h2dd6-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9nkz"
"ARPANET Project Notes","ark:/21198/zz002h2dd6","ark:/21198/z18k8wsb","","","Page","arpanet/image/pdf_images/21198-zz002h2dd6-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k8wsb"
"ARPANET Project Notes","ark:/21198/zz002h2dfq","ark:/21198/z14t851z","","","Page","arpanet/image/pdf_images/21198-zz002h2dfq-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t851z"
"ARPANET Project Notes","ark:/21198/zz002h2dfq","ark:/21198/z1127d83","","","Page","arpanet/image/pdf_images/21198-zz002h2dfq-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127d83"
"ARPANET Project Notes","ark:/21198/zz002h2dg7","ark:/21198/z1w96wv9","","","Page","arpanet/image/pdf_images/21198-zz002h2dg7-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w96wv9"
"ARPANET Project Notes","ark:/21198/zz002h2dg7","ark:/21198/z1rn4vgd","","","Page","arpanet/image/pdf_images/21198-zz002h2dg7-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn4vgd"
