Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Subject,Type.genre,Coverage.geographic,Rights.servicesContact,Language,Name.creator,Name.photographer,Name.subject,Name.repository,Description.fundingNote,Format.extent,Format.medium,Relation.isPartOf,AltTitle.uniform,Title,Alt ID.local,Description.caption,Date.creation,Date.normalized,Description.note,Description.abstract,Description.latitude,Description.longitude,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Blaney (Harry French) Papers,ark:/21198/zz002jjxtb,,2,Completed,Collection,,,,,,private,,,Irrigation engineering $z California|~|Water supply engineering $z California,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Blaney, Harry French,  $d 1892-1976",,,"University of California, Los Angeles. $b Library Special Collections",,,,,Blaney (Harry French) Papers,"Harry French Blaney Papers, 1919-1970",,,,,"Harry French Blaney was a civil engineer who worked for the U.S. Department of Agriculture (USDA) (1917-1962), was a research associate in the Department of Irrigation Research and Soil Science at UCLA (1962-1965) and served in the Department of Engineering and Water Resource Center (1965-1973). He authored many publications on the consumptive use of water, irrigation, evaporation and water supply.","Blaney was born in Los Angeles, California, July 19, 1892; BS, civil engineering, UC Berkeley, 1915; spent most of career working for U.S. Department of Agriculture (USDA), 1917-62; research associate, Department of Irrigation Research and Soil Science, UCLA, 1962-65; served in Department of Engineering and Water Resource Center, 1965-73; author of many publications on consumptive use of water, irrigation, evaporation, and water supply; died in 1976. ",,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=709384,https://oac.cdlib.org/findaid/ark:/13030/kt9n39q6ss/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002jjxtb
Blaney (Harry French) Papers,ark:/21198/zz002jjxxw,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00001.tif,,,,,private,still image,copyrighted,Pumping stations $z California|~|Provident Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Glenn County (Calif.)|~|California--Glenn County,,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Pumping plant of the Provident Irrigation District of Sacramento River, Glenn County, 1928",uclamss_1682_00001,"Text from negative sleeve: July, 1928.. Pumping plant of Provident Irrigation District of Sacramento River. 153.1. SHB. No. 5.",July 1928,1928-07,"The Provident Irrigation District is located  between the Jacinto (north), Stegeman (south), I-5 (west) and route 45 (east).|~|View of the Pumping plant of Provident Irrigation District of Sacramento River, a building constructed of corrugated metal with a tall, wide doorway in the center.",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjxxw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jjxxw/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk1qp,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00002.tif,,,,,private,still image,copyrighted,Pumping stations $z California|~|Provident Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Glenn County (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Worker standing outside of the booster plant of the Provident Irrigation District of Sacramento River, Glenn County, 1928",uclamss_1682_00002,"Text from negative sleeve: 153.1. Provident Irrigation District booster plant for high lands in northwest corner of district. No. 6. July, 1928. SHB.",July 1928,1928-07,"The Provident Irrigation District is located between the Jacinto (north), Stegeman (south), I-5 (west) and route 45 (east).|~|View of a worker the booster pumping plant of the  Provident Irrigation District of Sacramento River, a building constructed of corrugated metal.",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk1qp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk1qp/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk1r6,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00003.tif,,,,,private,still image,copyrighted,Big Sage Dam (Calif.)|~|Reservoirs $z California $z Modoc County|~|Big Sage Reservoir (Calif.)|~|Hot Spring Valley Irrigation District (Calif.)|~|Dams $z California $z Modoc County,Black-and-white photographs|~|cellulose nitrate film,Alturas (Calif.),,zxx,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Big Sage Rockfill Dam and Reservoir on the Rattlesnake Creek tributary to the Pit River, Alturas vicinity, 1928",uclamss_1682_00003,Text from negative sleeve: 150.71. Big Sage Rockfill Dam and Reservoir on Rattlesnake Creek tributary to Pit River Hot Spring Valley Irrigation District. Neg.: 7. Taken by: S. H. Beckett. Date: Aug. 1928.,August 1928,1928-08,"Big Sage Dam is an earthen dam 680 feet (210 m) long and 49 feet (15 m) high, with 8.3 feet (2.5 m) of freeboard. Hot Springs Valley Irrigation District owns the dam [Wikipedia].",,41.578224,-120.626626,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk1r6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk1r6/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk1sq,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00004.tif,,,,,private,still image,copyrighted,Big Sage Dam (Calif.)|~|Hot Spring Valley Irrigation District (Calif.)|~|Dams $z California $z Modoc County,Black-and-white photographs|~|cellulose nitrate film,Alturas (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Sage Dam, view from down stream, Alturas vicinity, 1928",uclamss_1682_00004,Text from negative sleeve: 150.71. Big Sage Dam - View from down stream showing discharge from reservoir to supplement flow in Pit River for Hot Spring Valley Irrigation District. Neg.: 8. Taken by: S. H. Beckett. Date: Aug. 1928.,August 1928,1928-08,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk1sq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk1sq/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk1t7,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00005.tif,,,,,private,still image,copyrighted,Fall River Valley Irrigation District (Calif.)|~|Combines (Agricultural machinery)|~|Harvesting $z California $z Fall River Mills,Black-and-white photographs|~|cellulose nitrate film,Fall River Mills (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Harvesting grain in the Fall River Valley, Fall River Mills vicinity, 1928",uclamss_1682_00005,"Text from negative sleeve: 401. Harvesting Grain, Fall River Valley Irrigation District. Neg.: 9. Taken by: S.H.B. Date: Aug. 1928.|~|Handwritten on negative: SHB - 9",August 1928,1928-08,View of a combine harvester in a grain field in Fall River Valley.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk1t7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk1t7/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk1vr,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00006.tif,,,,,private,still image,copyrighted,,Black-and-white photographs|~|cellulose nitrate film,Alturas (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Panorama of Hot Spring Valley on the Pit River, Alturas civinity, 1928",uclamss_1682_00006,Text from negative sleeve: 150. Panorama Hot Spring Valley on Pit River below Alturas. Neg. 10. Taken by: S. H. Beckett. Date: Aug. 1928.,August 1928,1928-08,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk1vr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk1vr/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk1w8,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00007.tif,,,,,private,still image,copyrighted,,Black-and-white photographs|~|cellulose nitrate film,Alturas (Calif.),,zxx,,,,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Hot Spring Valley on the Pit River, Alturas vicinity, 1928",uclamss_1682_00007,"Text from negative sleeve: 150. Panorama Hot Spring Valley on Pit River below Alturas, Calif. Neg.: 11. Taken by: S. H. B. Date: Aug. 1928.",August 1928,1928-8,Panoramic view of the Hot Spring Valley,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk1w8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk1w8/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk1xs,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00008.tif,,,,,private,still image,copyrighted,Fall River (Calif.)|~|Fall River Valley Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Fall River Mills (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Fall River with Fall River Valley Irrigation District lands beyond, Fall River Mills vicinity, 1928",uclamss_1682_00008,Text from negative sleeve: Fall River above Fall River Mills. Lands of Fall River Valley Irrigation District in background. Neg.: 12. Taken by: S. H. B. Date: Aug. 1928.,August 1928,1928-08,"Panoramic view of the Fall river, spanned by a bridge, with the lands of the Fall River Valley Irrigation District lands beyond it.",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk1xs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk1xs/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk1z9,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00009.tif,,,,,private,still image,copyrighted,,Black-and-white photographs|~|cellulose nitrate film,Alturas (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Hot Spring Valley on the Pit River, Alturas vicinity, 1928",uclamss_1682_00009,"Text from negative sleeve: Panorama of Hot Springs [sic] Valley on Pitt River below Alturas,, California. Neg.: 13. Taken by S. H. Beckett. Date: Aug 1928.",August 1928,1928-08,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk1z9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk1z9/manifest
