"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL"
"DIYALoG","ark:/21198/z1hb0rv9","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_001.tif","1","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb0rv9"
"DIYALoG","ark:/21198/z1ck014c","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_002.tif","2","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck014c"
"DIYALoG","ark:/21198/z17s98fj","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_003.tif","3","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s98fj"
"DIYALoG","ark:/21198/z144774v","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_004.tif","4","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz144774v"
"DIYALoG","ark:/21198/z10c6gg1","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_005.tif","5","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6gg1"
"DIYALoG","ark:/21198/z1vm6004","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_006.tif","6","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm6004"
"DIYALoG","ark:/21198/z1qv577z","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_007.tif","7","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv577z"
"DIYALoG","ark:/21198/z1m34gd6","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_008.tif","8","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34gd6"
"DIYALoG","ark:/21198/z1gb3qqx","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_009.tif","9","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb3qqx"
"DIYALoG","ark:/21198/z1bp1pfc","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_010.tif","10","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1pfc"
"DIYALoG","ark:/21198/z16x0xr3","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_011.tif","11","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x0xr3"
"DIYALoG","ark:/21198/z135063c","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_012.tif","12","","","","","","","","","","","Page 12","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz135063c"
"DIYALoG","ark:/21198/z1zc9pnk","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_013.tif","13","","","","","","","","","","","Page 13","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9pnk"
"DIYALoG","ark:/21198/z1tm8xvz","ark:/21198/zz002hc4hx","","","Page","diyalog/image/21198-zz002hc4hx-1-master_014.tif","14","","","","","","","","","","","Page 14","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm8xvz"
