"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z1m34gg3","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_001.tif","1","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34gg3",""
"DIYALoG","ark:/21198/z1gf2f70","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_002.tif","2","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2f70",""
"DIYALoG","ark:/21198/z1bp1ph8","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_003.tif","3","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1ph8",""
"DIYALoG","ark:/21198/z16x0xt0","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_004.tif","4","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x0xt0",""
"DIYALoG","ark:/21198/z135064t","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_005.tif","5","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz135064t",""
"DIYALoG","ark:/21198/z1zc9pp1","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_006.tif","6","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9pp1",""
"DIYALoG","ark:/21198/z1tm8xwd","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_007.tif","7","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm8xwd",""
"DIYALoG","ark:/21198/z1pv8641","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_008.tif","8","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8641",""
"DIYALoG","ark:/21198/z1k664tx","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_009.tif","9","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k664tx",""
"DIYALoG","ark:/21198/z1ff5d25","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_010.tif","10","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5d25",""
