"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z10w00j1","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_001.tif","1","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w00j1",""
"DIYALoG","ark:/21198/z1w39h2h","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_002.tif","2","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39h2h",""
"DIYALoG","ark:/21198/z1rf7ft0","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_003.tif","3","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7ft0",""
"DIYALoG","ark:/21198/z1mp6q1s","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_004.tif","4","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6q1s",""
"DIYALoG","ark:/21198/z1gx5z92","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_005.tif","5","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx5z92",""
"DIYALoG","ark:/21198/z1c556mg","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_006.tif","6","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c556mg",""
"DIYALoG","ark:/21198/z17d4fzn","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_007.tif","7","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4fzn",""
"DIYALoG","ark:/21198/z13n3q5f","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_008.tif","8","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3q5f",""
"DIYALoG","ark:/21198/z1zw36np","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_009.tif","9","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw36np",""
"DIYALoG","ark:/21198/z1v715b0","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_010.tif","10","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v715b0",""
"DIYALoG","ark:/21198/z1qg0dm8","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_011.tif","11","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0dm8",""
"DIYALoG","ark:/21198/z1kp9nw0","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_012.tif","12","","","","","","","","","","","Page 12","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9nw0",""
"DIYALoG","ark:/21198/z1fx8x7k","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_013.tif","13","","","","","","","","","","","Page 13","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx8x7k",""
"DIYALoG","ark:/21198/z1b585hj","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_014.tif","14","","","","","","","","","","","Page 14","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b585hj",""
"DIYALoG","ark:/21198/z16d7drc","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_015.tif","15","","","","","","","","","","","Page 15","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7drc",""
"DIYALoG","ark:/21198/z12n6p0m","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_016.tif","16","","","","","","","","","","","Page 16","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6p0m",""
"DIYALoG","ark:/21198/z1z04vw3","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_017.tif","17","","","","","","","","","","","Page 17","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z04vw3",""
"DIYALoG","ark:/21198/z1t74455","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_018.tif","18","","","","","","","","","","","Page 18","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t74455",""
"DIYALoG","ark:/21198/z1pg3cff","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_019.tif","19","","","","","","","","","","","Page 19","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg3cff",""
"DIYALoG","ark:/21198/z1jq2mr5","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_020.tif","20","","","","","","","","","","","Page 20","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2mr5",""
"DIYALoG","ark:/21198/z1dz1w3r","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_021.tif","21","","","","","","","","","","","Page 21","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz1w3r",""
"DIYALoG","ark:/21198/z196148c","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_022.tif","22","","","","","","","","","","","Page 22","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz196148c",""
"DIYALoG","ark:/21198/z15f0cjn","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_023.tif","23","","","","","","","","","","","Page 23","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0cjn",""
"DIYALoG","ark:/21198/z11r8b8j","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_024.tif","24","","","","","","","","","","","Page 24","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8b8j",""
"DIYALoG","ark:/21198/z1x07ts5","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_025.tif","25","","","","","","","","","","","Page 25","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x07ts5",""
"DIYALoG","ark:/21198/z1s77327","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_026.tif","26","","","","","","","","","","","Page 26","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s77327",""
"DIYALoG","ark:/21198/z1ng6bdd","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_027.tif","27","","","","","","","","","","","Page 27","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6bdd",""
"DIYALoG","ark:/21198/z1hq5kq4","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_028.tif","28","","","","","","","","","","","Page 28","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5kq4",""
