"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z1989v06","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_001.tif","1","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989v06",""
"DIYALoG","ark:/21198/z15h937d","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_002.tif","2","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h937d",""
"DIYALoG","ark:/21198/z11r8bfs","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_003.tif","3","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8bfs",""
"DIYALoG","ark:/21198/z1x07txz","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_004.tif","4","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x07txz",""
"DIYALoG","ark:/21198/z1s7737g","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_005.tif","5","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s7737g",""
"DIYALoG","ark:/21198/z1nk51x2","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_006.tif","6","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk51x2",""
"DIYALoG","ark:/21198/z1ht498n","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_007.tif","7","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht498n",""
"DIYALoG","ark:/21198/z1d23jkp","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_008.tif","8","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23jkp",""
"DIYALoG","ark:/21198/z1892svz","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_009.tif","9","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892svz",""
"DIYALoG","ark:/21198/z14j221p","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_010.tif","10","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j221p",""
