"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z1n02t9h","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_001.tif","1","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02t9h",""
"DIYALoG","ark:/21198/z1h722k5","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_002.tif","2","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h722k5",""
"DIYALoG","ark:/21198/z1cg19ww","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_003.tif","3","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg19ww",""
"DIYALoG","ark:/21198/z17q0k7g","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_004.tif","4","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0k7g",""
"DIYALoG","ark:/21198/z13x9tf9","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_005.tif","5","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9tf9",""
"DIYALoG","ark:/21198/z1087s4m","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_006.tif","6","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087s4m",""
"DIYALoG","ark:/21198/z1vh78n9","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_007.tif","7","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh78n9",""
"DIYALoG","ark:/21198/z1qr6hw4","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_008.tif","8","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6hw4",""
"DIYALoG","ark:/21198/z1m05s6k","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_009.tif","9","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m05s6k",""
"DIYALoG","ark:/21198/z1g751hp","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_010.tif","10","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g751hp",""
"DIYALoG","ark:/21198/z1bg48td","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_011.tif","11","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg48td",""
"DIYALoG","ark:/21198/z16q3j16","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_012.tif","12","","","","","","","","","","","Page 12","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3j16",""
"DIYALoG","ark:/21198/z1321gq3","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_013.tif","13","","","","","","","","","","","Page 13","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321gq3",""
"DIYALoG","ark:/21198/z1z9106r","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_014.tif","14","","","","","","","","","","","Page 14","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z9106r",""
"DIYALoG","ark:/21198/z1tj07fk","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_015.tif","15","","","","","","","","","","","Page 15","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj07fk",""
"DIYALoG","ark:/21198/z1pr9gq9","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_016.tif","16","","","","","","","","","","","Page 16","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9gq9",""
"DIYALoG","ark:/21198/z1k08r26","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_017.tif","17","","","","","","","","","","","Page 17","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k08r26",""
"DIYALoG","ark:/21198/z1f780bv","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_018.tif","18","","","","","","","","","","","Page 18","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f780bv",""
"DIYALoG","ark:/21198/z19g77m4","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_019.tif","19","","","","","","","","","","","Page 19","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g77m4",""
"DIYALoG","ark:/21198/z15t5694","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_020.tif","20","","","","","","","","","","","Page 20","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5694",""
"DIYALoG","ark:/21198/z1224fj8","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_021.tif","21","","","","","","","","","","","Page 21","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224fj8",""
"DIYALoG","ark:/21198/z1x93z20","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_022.tif","22","","","","","","","","","","","Page 22","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x93z20",""
"DIYALoG","ark:/21198/z1sj36c3","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_023.tif","23","","","","","","","","","","","Page 23","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj36c3",""
"DIYALoG","ark:/21198/z1ns2fq8","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_024.tif","24","","","","","","","","","","","Page 24","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2fq8",""
"DIYALoG","ark:/21198/z1j11q1q","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_025.tif","25","","","","","","","","","","","Page 25","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j11q1q",""
"DIYALoG","ark:/21198/z1d80z73","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_026.tif","26","","","","","","","","","","","Page 26","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d80z73",""
"DIYALoG","ark:/21198/z18k8wwp","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_027.tif","27","","","","","","","","","","","Page 27","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k8wwp",""
"DIYALoG","ark:/21198/z14t855r","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_028.tif","28","","","","","","","","","","","Page 28","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t855r",""
"DIYALoG","ark:/21198/z1127ddw","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_029.tif","29","","","","","","","","","","","Page 29","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127ddw",""
"DIYALoG","ark:/21198/z1w96wzn","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_030.tif","30","","","","","","","","","","","Page 30","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w96wzn",""
"DIYALoG","ark:/21198/z1rj6585","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_031.tif","31","","","","","","","","","","","Page 31","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj6585",""
"DIYALoG","ark:/21198/z1ms5dmb","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_032.tif","32","","","","","","","","","","","Page 32","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5dmb",""
"DIYALoG","ark:/21198/z1h14nt1","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_033.tif","33","","","","","","","","","","","Page 33","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14nt1",""
"DIYALoG","ark:/21198/z1cc2mh1","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_034.tif","34","","","","","","","","","","","Page 34","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2mh1",""
"DIYALoG","ark:/21198/z17m1vqd","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_035.tif","35","","","","","","","","","","","Page 35","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m1vqd",""
"DIYALoG","ark:/21198/z13v140g","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_036.tif","36","","","","","","","","","","","Page 36","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v140g",""
"DIYALoG","ark:/21198/z1030c9h","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_037.tif","37","","","","","","","","","","","Page 37","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030c9h",""
"DIYALoG","ark:/21198/z1v99vw5","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_038.tif","38","","","","","","","","","","","Page 38","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v99vw5",""
"DIYALoG","ark:/21198/z1qj944s","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_039.tif","39","","","","","","","","","","","Page 39","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj944s",""
"DIYALoG","ark:/21198/z1kw72vt","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_040.tif","40","","","","","","","","","","","Page 40","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw72vt",""
