Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Name.creator,Name.repository,Date.normalized,Title,Alt ID.local,Format.dimensions,Date.creation,Subject geographic,Format.medium,Subject name,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Fowler Museum,ark:/21198/zz002czrg2,,10,Completed with minimal metadata,Collection,,,,,,,,Fowler Museum at UCLA,,Fowler Museum,,,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002czrg2
Fowler Museum,ark:/21198/zz002czs4c,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czs4c_2107768_master.tif,1,,,,still image,,Fowler Museum at UCLA,1958/1968,Ceremonial house painting (X63-671),X63.671,"L: 47.5 in, D: 38.75 in",Circa 1963,"Wom, Lower Sepik River, Papua New Guinea","Sago palm spathe, pigment, plant fiber",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czs4c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czs4c/manifest
Fowler Museum,ark:/21198/zz002czs5w,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czs5w_2175104_master.tif,2,,,,three dimensional object,,Fowler Museum at UCLA,100/800,Portrait vessel (X91-145),X91-145,"H: 26.5 cm, W: 18.8 cm, D: 19.9 cm (H: 10.4 in, W: 7.4 in, D: 7.8 in)",100-800 C.E.,North coast Peru,Ceramic,Moche peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czs5w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czs5w/manifest
Fowler Museum,ark:/21198/zz002czs6d,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czs6d_2171106_master.tif,3,,,,three dimensional object,,Fowler Museum at UCLA,1800/1950,Headdress (ere egungun olode) (X65-9148),X65-9148,"H: 31.0 cm, W: 47.0 cm, D: 37.0 cm (H: 12.2 in, W: 18.5 in, D: 14.5 in)",19th - Early 20th Century,Nigeria,"Wood, cotton, cloth, paint",Yoruba peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czs6d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czs6d/manifest
Fowler Museum,ark:/21198/zz002czs7x,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czs7x_2171120_master.tif,4,,,,three dimensional object,Grandfather of David Monongye,Fowler Museum at UCLA,1895/1905,"Kachina figure, Tihu of Hooli Katsina (Little Brother of the Eagle) (X68-161)",X68-161,"H: 22.8 cm, W: 8.6 cm, D: 6.7 cm (H: 8.9 in, W: 3.4 in, D: 2.6 in)",Circa 1900,"Hotevilla, Arizona","Wood, feather, paint, string",Hopi peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czs7x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czs7x/manifest
Fowler Museum,ark:/21198/zz002czs8f,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czs8f_2175086_master.tif,5,,,,three dimensional object,José Rodriguez,Fowler Museum at UCLA,1990/1999,Crown (X95-5-1),X95-5-1,"W: 22.0 cm, D: 24.0 cm, H: 60.5 cm (W: 8.7 in, D: 9.4 in, H: 23.8 in)",1990s,"New York, USA","Beads, thread, feathers, fabric, wood, shells",Yoruba peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czs8f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czs8f/manifest
Fowler Museum,ark:/21198/zz002czsc0,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsc0_2160574_master.tif,8,,,,three dimensional object,,Fowler Museum at UCLA,1850/1899,Mask (tsesah) (X65-5820),X65-5820,"H: 53.34 cm, W: 47.00 cm, D: 30.50 cm (H: 21 in, W: 18.5 in, D: 12 in)",Late 19th Century,Cameroon,"Wood, paint, iron dowel, plant fiber, plant gum",Bamileke peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsc0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsc0/manifest
Fowler Museum,ark:/21198/zz002czsdh,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsdh_2175107_master.tif,9,,,,three dimensional object,,Fowler Museum at UCLA,1800/1950,Headrest (X86-2455),X86-2455,"W: 41.5 cm, H: 13.2 cm, D: 13.5 cm (W: 16.3 in, H: 5.1 in, D: 5.3 in)",19th - Early 20th century,Tonga or Fiji,Wood and plant fiber,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsdh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsdh/manifest
Fowler Museum,ark:/21198/zz002czsf1,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsf1_2160553_master.tif,10,,,,three dimensional object,,Fowler Museum at UCLA,1850/1950,Container (X65-5471a-b),X65-5471a-b,,Late 19th - Early 20th Century,Democratic Republic of the Congo,"Wood, bark, plant fiber, string",Mangbetu/Zande peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsf1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsf1/manifest
Fowler Museum,ark:/21198/zz002czsgj,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsgj_2171128_master.tif,11,,,,three dimensional object,,Fowler Museum at UCLA,1600/1699,Buddha figure (X75-58a-c),X75-58a-c,"Total Height: 123.0 cm, H: 106.0 cm, W: 66.5 cm, D: 36.0 cm (Total: 48.4 in, H: 41.7 in, W: 26.2 in, D: 14.2 in)",17th Century,"Sagaing, Burma",Gilded lacquer and wood,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsgj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsgj/manifest
