Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.genre,Type.typeOfResource,Name.creator,Subject,Rights.servicesContact,Language,Name.subject,Relation.isPartOf,Name.repository,Title,AltTitle.other,Description.note,Format.extent,Format.medium,Date.normalized,Date.creation,viewingHint,Text direction,Visibility,IIIF Range,Alt ID.local,Description.fundingNote,Format.dimensions,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz00151t8z,,2,Completed,Collection,,,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Golden State Mutual Life Ins. Co. Records (Collection 1434). Department of Special Collections, Charles E. Young Library, UCLA","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","Golden State Mutual Life Insurance Company records, 1909-2009",Golden State Mutual Life Ins. Co. Records. Collection 1434,,,,,,,,,,,,,https://oac.cdlib.org/findaid/ark:/13030/ft8489n95g/,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1470592,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00151t8z
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz0015rxz5,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz0015rxz5-1-master.tif,,,,photographs,still image,,African American athletes|~|Athletes,,,"Alexander, Titus N. (Titus Nathaniel), $d 1870-1952|~|Tolan, Thomas Edward ""Eddie""|~|Gordon, Edward ""Ed"" Lansing|~|Metcalfe, Ralph H.|~|Johnson, Cornelius Cooper, $d 1913-1946 ","Golden State Mutual Life Ins. Co. Records (Collection 1434). UCLA Library Special Collections, Charles E. Young Research Library.",,"Eddie Tolan, Eddie Gordon, Uncle Tite, Metcalfe, Cornelius Johnson [photograph]",,Titus Alexander meeting with a group of African-American Olympic athletes.,,,1940/1949,[1940s?],,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rxz5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rxz5/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz0015rz5r,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz0015rz5r-1-master.tif,,,,photographs,still image,,African American athletes|~|Athletes,,,"Alexander, Titus N. (Titus Nathaniel), $d 1870-1952|~|Tolan, Thomas Edward ""Eddie""|~|Gordon, Edward ""Ed"" Lansing|~|Metcalfe, Ralph H.|~|Johnson, Cornelius Cooper, $d 1913-1946 ","Golden State Mutual Life Ins. Co. Records (Collection 1434). UCLA Library Special Collections, Charles E. Young Research Library.",,"Johnson, Gordon, Metcalfe, Tolan, Uncle Titus [photograph]",,Titus Alexander meeting with a group of African-American Olympic athletes.,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rz5r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rz5r/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz0015rz68,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz0015rz68-1-master.tif,,,,photographs,still image,,,,,"Alexander, Titus N. (Titus Nathaniel), $d 1870-1952","Golden State Mutual Life Ins. Co. Records (Collection 1434). UCLA Library Special Collections, Charles E. Young Research Library.",,"Titus Alexander, portrait [photograph]",,,1 photograph,black and white,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rz68,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rz68/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz0015rzdc,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz0015rzdc-1-master.tif,,,,photographs,still image,,,,,,,,[Biddy Mason's house?] [photograph],,,,,,,,,private,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rzdc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rzdc/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz0015rzfw,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz0015rzfw-1-master.tif,,,,photographs,still image,,,,,,,,[Biddy Mason house 1884?] [photograph],,,,,,,,,private,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rzfw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rzfw/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001ng4xr,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz001ng4xr_1311955_master.tif,,,,photographs,still image,,,,,,,,[photograph],,,,,,,,,private,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng4xr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ng4xr/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwstr,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz001nwstr_1453308_master.tif,,,,photographs,still image,,,,,,,,"Artwork, ""Thanks to Golden State Mutual for the Saturday Morning Art Class"" [photograph]",,,,,,,,,private,,"Box 18, folder 1",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwstr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwstr/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwsv8,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz001nwsv8_1453313_master.tif,,,,photographs,still image,,,,,,,,Mural by Hale Woodruff [photograph],,,,b&w photograph,,,,,,,"Box 18, folder 14",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwsv8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwsv8/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwsws,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz001nwsws_1453316_master.tif,,,,photographs,still image,,,,,,,,Mural by Charles Alston [photograph],,,1 photograph,black and white,,,,,,,"Box 18, folder 14",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwsws,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwsws/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwsx9,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz001nwsx9_1453319_master.tif,,,,photographs,still image,,,,,,,,Gathering in lobby of Golden State Mutual Life Ins. Co. building [photograph],,,1 photograph,black and white,,,,,,,"Box 32, folder 6",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwsx9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwsx9/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwszt,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz001nwszt_1453322_master.tif,,,,photographs,still image,,,,,,,,Mural by Charles Alston [photograph],,,1 photograph,black and white,,,,,private,,"Box 32, folder 7",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwszt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwszt/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwt0t,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz001nwt0t_1453325_master.tif,,,,photographs,still image,,,,,,,,Mural by Hale Woodruff [photograph],,,1 photograph,black and white photograph,,,,,,,"Box 32, folder 7",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwt0t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwt0t/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwt1b,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz001nwt1b_1453328_master.tif,,,,photographs,still image,,,,,,,,[photograph],,,1 photograph,black and white photograph,,,,,private,,"Box 32, folder 10",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwt1b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwt1b/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwt2v,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz001nwt2v_1453331_master.tif,,,,photographs,still image,,,,,,,,[photograph],,,1 photograph,black and white photograph,,,,,private,,"Box 34, folder 10",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwt2v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwt2v/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwt3c,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz001nwt3c_1453334_master.tif,,,,photographs,still image,,,,,,,,[photograph],,,1 photograph,black and white photograph,,,,,private,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwt3c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwt3c/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwt4w,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz001nwt4w_1453337_master.tif,,,,photographs,still image,,,,,,,,[photograph],,,1 photograph,black and white photograph,,,,,private,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwt4w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwt4w/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz001nwt5d,ark:/21198/zz00151t8z,1,In progress,Work,goldenstate/masters/21198-zz001nwt5d_1453340_master.tif,,,,photographs,still image,,,,,,,,Children standing in line in front of artwork [photograph],,,1 photograph,black and white photograph,,,,,private,,"Box 36, folder 9",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwt5d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nwt5d/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz002k7nc4,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz002k7nc4_2387942_master.tif,,,,photographs,still image,Golden State Mutual Life Insurance Co.--Employees,,,eng,,,,Home Office Daily Operations,,"A circa 1953 filmed tour of the Golden State Mutual Life Insurance Company West Adams home office shortly after it was built. Footage shows staffers at work in various departments, a detailed view of the office interiors and equipment and installation of a sign publicizing a new hospital plan. A number of key personnel appear such as Helen Batiste, Edgar J. Johnston, Ivan Houston, Verna Hickman, and co-founders George Beavers and Norman Houston. Also shown, a number of well-known African American entertainers and civil rights activists including Lena Horne, Joe Louis and Charlotta Bass.","Reel 1 of 1 (16 min., 13 sec.) : mos",color ; 16mm Kodachrome,1953,ca. 1953,,,,,yrlsc1434_100_03s,Access to this film is generously supported by funding from the National Film Preservation Foundation.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7nc4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k7nc4/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz002k7ndn,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz002k7ndn_2387945_master.tif,,,,photographs,still image,Golden State Mutual Life Insurance Co.--Employees,,,,,,,GSM Company Picnic Movie 1958,,"One of only two surviving examples in the collection of an annual outdoor event held for staffers and their families, celebrating the 1925 founding of the Golden State Mutual Life Insurance Company. The films are significant because they show local recreation sites frequented by African Americans during segregation. Over the years Golden State Mutual picnics were held at Val Verde (known as the “Black Palm Springs”), Santa Monica Beach between Bay and Bicknel streets (colloquially referred to as “The Ink Spot” or “Ink Well Beach”), Cabrillo Beach and Lake Elsinore.","Reel 1 of 1 (9 min., 50 sec.) : mos",color ; 16mm Kodachrome,1958,1958,,,,,yrlsc1434_104_01s,Access to this film is generously supported by funding from the National Film Preservation Foundation.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7ndn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k7ndn/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz002k7nf5,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz002k7nf5_2387948_master.tif,,,,photographs,still image,Golden State Mutual Life Insurance Co.,Picnics $z California|~|Val Verde (Calif.),,eng,,,,"Company Picnic Films, 22nd Anniversary Val Verde Park 1947",,"One of only two surviving examples in the collection of an annual outdoor event held for staffers and their families, celebrating the 1925 founding of the Golden State Mutual Life Insurance Company. The films are significant because they show local recreation sites frequented by African Americans during segregation. Over the years Golden State Mutual picnics were held at Val Verde (known as the “Black Palm Springs”), Santa Monica Beach between Bay and Bicknel streets (colloquially referred to as “The Ink Spot” or “Ink Well Beach”), Cabrillo Beach and Lake Elsinore. This footage was shot at Val Verde.","Reel 1 of 1 (14 min., 19 sec.) : mos",color and black and white ; 16mm,1947,1947,,,,,yrlsc1434_104_02s,Access to this film is generously supported by funding from the National Film Preservation Foundation.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7nf5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k7nf5/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz002k7ngp,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz002k7ngp_2387953_master.tif,,,,photographs,still image,Golden State Mutual Life Insurance Co.--Employees,,,eng,,,,"Home Office construction, office opening in 1949",,"Shows ground-breaking and opening ceremonies of the Golden State Mutual Life Insurance Company's West Adams Los Angeles home office. Co-founder Norman Houston and colleague looking at blueprints. Installation of murals  painted by Charles Alston and  Hale Woodruff. Grand opening includes ribbon cutting ceremony and unveiling of the mural and the bust of founder William Nickerson, Jr. Also shown, the placement of the time capsule and cornerstone. Documentation on film leader indicates ""Original to be used for reprint only.""","Reel 1 of 1 (24 mins., 14 sec.) : mos",color ; 16mm Kodachrome,1949,1949,,,,,yrlsc1434_102_01s,Access to this film is generously supported by funding from the National Film Preservation Foundation.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7ngp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k7ngp/manifest
Golden State Mutual Life Ins. Co. Records. Collection 1434,ark:/21198/zz002k7nh6,ark:/21198/zz00151t8z,2,Completed,Work,goldenstate/masters/21198-zz002k7nh6_2387956_master.tif,,,,photographs,still image,Golden State Mutual Life Insurance Co.--Employees,,,eng,,,,Monument to Service,,"Footage shows groundbreaking ceremony and construction of the Golden State Mutual Life Insurance Company West Adams, Los Angeles home office. Credits indicate title as ""Monument to Service.""","Reel 1 of 1 (15 mins., 26 sec.) : mos",color ; 16mm Kodachrome,,1949,,,,,yrlsc1434_102_02s,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7nh6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k7nh6/manifest
