File Name,Title,Object Type,Item Sequence,viewingHint,AltIdentifier.local,Thumbnail,Finding Aid URL,Alt ID.url,Item ARK,Parent ARK (fester),Parent ARK,Opac url,Date.creation,Date.normalized,Summary,Description.caption,Description.note,Description.fundingNote,Language,Name.repository,Rights.servicesContact,Type.genre,Name.subject,Subject geographic,Text direction,IIIF Range,Representative image,Masthead,Featured image,Rights.copyrightStatus,Type.typeOfResource,IIIF Manifest URL
,Quarterly report,Work,,individuals,"Collection 131, Box 1, Folder 1",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321jw5,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z1rv2b6x,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1942 March 18-June 30,1942-03-18/1942-06-30,,,Report includes chronology detailing incarceration process from 1941 December 7 to 1942 June 29 and gives brief descriptions of incarceration camp sites.,Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv2b6x/manifest
,Quarterly report,Work,,individuals,"Collection 131, Box 1, Folder 2",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0thb,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z1n31kf2,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1942 July 1-September 30,1942-07-01/1942-09-30,,,"Report covers employment statistics within incarceration camps, leave regulations, college student forced removal, and general aspects of life in incarceration camps, such as education, mess operations, religious activities, and the fears and anxieties of incarcerees.",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n31kf2/manifest
,Quarterly report,Work,,individuals,"Collection 131, Box 1, Folder 3",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2b98,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z1hd9j5z,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1942 October 1-December 31,1942-10-01/1942-12-31,,,"Report covers general aspects of life in incarceration camps, including forced removal progress, employment of incarcerees, and repatriation. Included is a description of a strike at the Potson camp and a riot at Manzanar.",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hd9j5z/manifest
,Semi-annual report,Work,,individuals,"Collection 131, Box 1, Folder 4",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087vb4,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z1cn8sds,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1943 January 1-June 30,1943-01-01/1943-06-30,,,"Report covers general aspects of life in incarceration camps, including mess hall operations, recreation, and education. Also details Senate Sub-committee investigation, Spanish Consular visit, isolation procedures, and segregation procedures for pro-Japanese and pro-American incarcerees.",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cn8sds/manifest
,Semi-annual report,Work,,individuals,"Collection 131, Box 1, Folder 5",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48g1p,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z17w81n0,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1943 July 1-December 31,1943-07-01/1943-12-31,,,"Report covers general aspects of life in incarceration camps, including segregation process and problems. Details Tule Lake Incident and November 1 demonstration at Tule Lake Hospital. Fold-out map of Tule Lake included.",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w81n0/manifest
,Semi-annual report ,Work,,individuals,"Collection 131, Box 1, Folder 6",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j81w4,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z14478xk,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1944 January 1-June 30,1944-01-01/1944-06-30,,,"Documents the WRA's transfer from independent war agency to Department of the Interior. Includes general description of life in incarceration camps, including reaction of incarcerees and enlistment. Includes report of the House Sub-Committee on the Tule Lake Incident, the closing of the Jerome Relocation Center, and tables and charts showing average incarceration camp populations.",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14478xk/manifest
,Semi-annual report ,Work,,individuals,"Collection 131, Box 1, Folder 7",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3f3g,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z10c6j7q,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1945 January 1-June 30,1945-01-01/1945-06-30,,,"Report discussed resettlement procedures, housing problems, incarceree attitudes, the children's village at Manzanar, and labor attitudes of the Congress of Industrial Organizations (CIO) and the American Federation of Labor (AFL). Details the West Coast opposition toward Japanese American resettlement, including boycotts, terrorist incidents, and legal issues regarding ownership of property.",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6j7q/manifest
,Semi-annual report ,Work,,individuals,"Collection 131, Box 1, Folder 8",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698snx,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z1vm61rd,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1945 July 1-December 31,1945-07-01/1945-12-31,,,"Report summarizes resettlement, liquidation, and departure process from various incarceration camps. Resettlement issues of Tule Lake incarcerees are discussed, including renunciants and the declining influence of the Hoshidan (pro-Japanese societies).",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm61rd/manifest
,Final semi-annual report ,Work,,individuals,"Collection 131, Box 1, Folder 9",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46dd7,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z1qv5913,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1946 January 1-June 30,1946-01-01/1945-06-30,,,"Report documents the end of the WRA, as of June 30, 1946, including the forced removal of Tule Lake residents; renunciant hearings; closing of Tule Lake; and a general summary of incarceration processes.",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",reports,,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qv5913/manifest
,Address. Ben Kuroki ,Work,,individuals,"Collection 131, Box 2, Folder 1",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4cfq,https://oac.cdlib.org/findaid/ark:/13030/tf867nb5b5/,,ark:/21198/z1m637rf,ark:/21198/z1wm32vb,ark:/21198/z1wm32vb|~|ark:/21198/n11s67,http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232768,1944 February 4,1944-02-04,,,"Address by Sergeant Ben Kuroki, U.S. Army Air Force, before the Commonwealth Club, San Francisco, CA (sponsored by the WRA). Details Kuroki's experience with racial prejudice while in the army, and calls for the humane treatment of Japanese Americans in the future. Kuroki was previously awarded with two Distinguished Flying Cross Medals.",Digitization of these materials has been generously supported as part of the OpenUCLA Centennial Initiative.,eng,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",speeches (documents),,,,,,,,copyrighted,text,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m637rf/manifest
