"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Rights.rightsHolderContact","Language","Name.subject","Name.repository","Name.creator","Subject","Title","Date.creation","AltTitle.other","Description.note","Date.normalized","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Network Measurement Center Collection","ark:/21198/z1rr3jv8","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_001.tif","1","","","","","","","","","","","","","","Page 1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3jv8",""
"Network Measurement Center Collection","ark:/21198/z1n02t3t","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_002.tif","2","","","","","","","","","","","","","","Page 2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02t3t",""
"Network Measurement Center Collection","ark:/21198/z1h722cg","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_003.tif","3","","","","","","","","","","","","","","Page 3","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h722cg",""
"Network Measurement Center Collection","ark:/21198/z1cg19p6","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_004.tif","4","","","","","","","","","","","","","","Page 4","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg19p6",""
"Network Measurement Center Collection","ark:/21198/z17q0k27","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_005.tif","5","","","","","","","","","","","","","","Page 5","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0k27",""
"Network Measurement Center Collection","ark:/21198/z1418hn7","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_006.tif","6","","","","","","","","","","","","","","Page 6","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418hn7",""
"Network Measurement Center Collection","ark:/21198/z1087rxh","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_007.tif","7","","","","","","","","","","","","","","Page 7","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087rxh",""
"Network Measurement Center Collection","ark:/21198/z1vh78fm","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_008.tif","8","","","","","","","","","","","","","","Page 8","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh78fm",""
"Network Measurement Center Collection","ark:/21198/z1qr6hpf","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_009.tif","9","","","","","","","","","","","","","","Page 9","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6hpf",""
"Network Measurement Center Collection","ark:/21198/z1m05s0w","ark:/21198/zz002djgcp","","","Page","network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_010.tif","10","","","","","","","","","","","","","","Page 10","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m05s0w",""
