"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Title","Delete in Title","Thumbnail","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Language","Rights.permission","Name.repository","Relation.isPartOf","Name.creator","Rights.rightsHolderContact","Subject","Date.normalized","Date.creation","AltTitle.other","Alt ID.local","Opac url","Finding Aid URL","Summary","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Roberts (Larry) Collection","ark:/21198/z1n31hk1","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_001.tif","1","","","","Page 1","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31hk1",""
"Roberts (Larry) Collection","ark:/21198/z1hb0rsd","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_002.tif","2","","","","Page 2","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb0rsd",""
"Roberts (Larry) Collection","ark:/21198/z1ck0111","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_003.tif","3","","","","Page 3","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck0111",""
"Roberts (Larry) Collection","ark:/21198/z17s989r","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_004.tif","4","","","","Page 4","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s989r",""
"Roberts (Larry) Collection","ark:/21198/z1418hpp","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_005.tif","5","","","","Page 5","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418hpp",""
"Roberts (Larry) Collection","ark:/21198/z1087rzz","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_006.tif","6","","","","Page 6","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087rzz",""
"Roberts (Larry) Collection","ark:/21198/z1vm5zw0","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_007.tif","7","","","","Page 7","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm5zw0",""
"Roberts (Larry) Collection","ark:/21198/z1qv5752","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_008.tif","8","","","","Page 8","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5752",""
"Roberts (Larry) Collection","ark:/21198/z1m34gb9","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_009.tif","9","","","","Page 9","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34gb9",""
"Roberts (Larry) Collection","ark:/21198/z1gb3qmk","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_010.tif","10","","","","Page 10","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb3qmk",""
"Roberts (Larry) Collection","ark:/21198/z1bk2zx9","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_011.tif","11","","","","Page 11","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk2zx9",""
"Roberts (Larry) Collection","ark:/21198/z16t279q","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_012.tif","12","","","","Page 12","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t279q",""
"Roberts (Larry) Collection","ark:/21198/z13505z5","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_013.tif","13","","","","Page 13","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13505z5",""
"Roberts (Larry) Collection","ark:/21198/z1zc9pj7","ark:/21198/zz002dmvhz","","","Page","kleinrock/image/pdf_images/21198-zz002dmvhz-1-master_014.tif","14","","","","Page 14","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9pj7",""
