Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0025wfpf,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_001.tif,1,,,,,,,,,,,,,,,,p. 1 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wfqz,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_002.tif,2,,,,,,,,,,,,,,,,p. 2 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wfrg,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_003.tif,3,,,,,,,,,,,,,,,,p. 3 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wfs0,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_004.tif,4,,,,,,,,,,,,,,,,p. 4 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wfth,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_005.tif,5,,,,,,,,,,,,,,,,p. 5 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wfv1,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_006.tif,6,,,,,,,,,,,,,,,,p. 6 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wfwj,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_007.tif,7,,,,,,,,,,,,,,,,p. 7 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wfx2,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_008.tif,8,,,,,,,,,,,,,,,,p. 8 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wfzk,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_009.tif,9,,,,,,,,,,,,,,,,p. 9 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wg0k,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_010.tif,10,,,,,,,,,,,,,,,,p. 10 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wg13,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_011.tif,11,,,,,,,,,,,,,,,,p. 11 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wg2m,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_012.tif,12,,,,,,,,,,,,,,,,p. 12 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wg34,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_013.tif,13,,,,,,,,,,,,,,,,p. 13 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wg4n,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_014.tif,14,,,,,,,,,,,,,,,,p. 14 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wg55,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_015.tif,15,,,,,,,,,,,,,,,,p. 15 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025wg6p,ark:/21198/zz0025wfnx,2,Completed,ChildWork,stgall/masters/csg-0088/csg-0088_016.tif,16,,,,,,,,,,,,,,,,p. 16 ,,,,,,,,,,,
