Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz00261mm1,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_001.tif,1,,,,,,,,,,,,,,,,p. 1,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mnj,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_002.tif,2,,,,,,,,,,,,,,,,p. 2,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mp2,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_003.tif,3,,,,,,,,,,,,,,,,p. 3,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mqk,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_004.tif,4,,,,,,,,,,,,,,,,p. 4,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mr3,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_005.tif,5,,,,,,,,,,,,,,,,p. 5,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261msm,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_006.tif,6,,,,,,,,,,,,,,,,p. 6,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mt4,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_007.tif,7,,,,,,,,,,,,,,,,p. 7,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mvn,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_008.tif,8,,,,,,,,,,,,,,,,p. 8,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mw5,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_009.tif,9,,,,,,,,,,,,,,,,p. 9,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mxp,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_010.tif,10,,,,,,,,,,,,,,,,p. 10,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261mz6,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_011.tif,11,,,,,,,,,,,,,,,,p. 11,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n06,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_012.tif,12,,,,,,,,,,,,,,,,p. 12,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n1q,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_013.tif,13,,,,,,,,,,,,,,,,p. 13,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n27,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_014.tif,14,,,,,,,,,,,,,,,,p. 14,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n3r,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_015.tif,15,,,,,,,,,,,,,,,,p. 15,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n48,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_016.tif,16,,,,,,,,,,,,,,,,p. 16,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n5s,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_017.tif,17,,,,,,,,,,,,,,,,p. 17,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n69,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_018.tif,18,,,,,,,,,,,,,,,,p. 18,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n7t,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_019.tif,19,,,,,,,,,,,,,,,,p. 19,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n8b,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_020.tif,20,,,,,,,,,,,,,,,,p. 20,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261n9v,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_021.tif,21,,,,,,,,,,,,,,,,p. 21,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nbc,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_022.tif,22,,,,,,,,,,,,,,,,p. 22,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261ncw,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_023.tif,23,,,,,,,,,,,,,,,,p. 23,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261ndd,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_024.tif,24,,,,,,,,,,,,,,,,p. 24,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nfx,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_025.tif,25,,,,,,,,,,,,,,,,p. 25,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261ngf,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_026.tif,26,,,,,,,,,,,,,,,,p. 26,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nhz,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_027.tif,27,,,,,,,,,,,,,,,,p. 27,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261njg,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_028.tif,28,,,,,,,,,,,,,,,,p. 28,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nk0,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_029.tif,29,,,,,,,,,,,,,,,,p. 29,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nmh,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_030.tif,30,,,,,,,,,,,,,,,,p. 30,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nn1,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_031.tif,31,,,,,,,,,,,,,,,,p. 31,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261npj,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_032.tif,32,,,,,,,,,,,,,,,,p. 32,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nq2,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_033.tif,33,,,,,,,,,,,,,,,,p. 33,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nrk,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_034.tif,34,,,,,,,,,,,,,,,,p. 34,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261ns3,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_035.tif,35,,,,,,,,,,,,,,,,p. 35,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261ntm,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_036.tif,36,,,,,,,,,,,,,,,,p. 36,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nv4,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_037.tif,37,,,,,,,,,,,,,,,,p. 37,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nwn,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_038.tif,38,,,,,,,,,,,,,,,,p. 38,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nx5,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_039.tif,39,,,,,,,,,,,,,,,,p. 39,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261nzp,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_040.tif,40,,,,,,,,,,,,,,,,p. 40,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p0p,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_041.tif,41,,,,,,,,,,,,,,,,p. 41,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p16,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_042.tif,42,,,,,,,,,,,,,,,,p. 42,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p2q,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_043.tif,43,,,,,,,,,,,,,,,,p. 43,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p37,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_044.tif,44,,,,,,,,,,,,,,,,p. 44,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p4r,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_045.tif,45,,,,,,,,,,,,,,,,p. 45,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p58,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_046.tif,46,,,,,,,,,,,,,,,,p. 46,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p6s,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_047.tif,47,,,,,,,,,,,,,,,,p. 47,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p79,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_048.tif,48,,,,,,,,,,,,,,,,p. 48,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p8t,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_049.tif,49,,,,,,,,,,,,,,,,p. 49,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261p9b,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_050.tif,50,,,,,,,,,,,,,,,,p. 50,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261pbv,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_051.tif,51,,,,,,,,,,,,,,,,p. 51,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261pcc,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_052.tif,52,,,,,,,,,,,,,,,,p. 52,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261pdw,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_053.tif,53,,,,,,,,,,,,,,,,p. 53,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261pfd,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_054.tif,54,,,,,,,,,,,,,,,,p. 54,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261pgx,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_055.tif,55,,,,,,,,,,,,,,,,p. 55,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261phf,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_056.tif,56,,,,,,,,,,,,,,,,p. 56,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261pjz,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_057.tif,57,,,,,,,,,,,,,,,,p. 57,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00261pkg,ark:/21198/zz00261mkh,2,Completed,ChildWork,stgall/masters/csg-0158/csg-0158_058.tif,58,,,,,,,,,,,,,,,,p. 58,,,,,,,,,,,
