"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Name.creator","Subject","Type.genre","Name.repository","Relation.isPartOf","Coverage.geographic","Title","Date.creation","Date.normalized","Description.abstract","Alt ID.local","Format.extent","Format.dimensions","AltTitle.descriptive","Opac url","AltTitle.other","Finding Aid URL","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwk3","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwk3_1283272_master.tif","1","","","","","","","text","","","","","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwk3",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwmm","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwmm_1283275_master.tif","2","","","","","","","text","","","","","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwmm",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwn4","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwn4_1283278_master.tif","3","","","","","","","text","","","","","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwn4",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwpn","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwpn_1283281_master.tif","4","","","","","","","text","","","","","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwpn",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwq5","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwq5_1283284_master.tif","5","","","","","","","text","","","","","","","","page 5","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwq5",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwrp","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwrp_1283287_master.tif","6","","","","","","","text","","","","","","","","page 6","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwrp",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfws6","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfws6_1283290_master.tif","7","","","","","","","text","","","","","","","","page 7","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfws6",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwtq","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwtq_1283293_master.tif","8","","","","","","","text","","","","","","","","page 8","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwtq",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwv7","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwv7_1283296_master.tif","9","","","","","","","text","","","","","","","","page 9","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwv7",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwwr","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwwr_1283299_master.tif","10","","","","","","","text","","","","","","","","page 10","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwwr",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwx8","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwx8_1283302_master.tif","11","","","","","","","text","","","","","","","","page 11","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwx8",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfwzs","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfwzs_1283305_master.tif","12","","","","","","","text","","","","","","","","page 12","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwzs",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfx0s","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfx0s_1283308_master.tif","13","","","","","","","text","","","","","","","","page 13","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfx0s",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hfx19","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hfx19_1283311_master.tif","14","","","","","","","text","","","","","","","","page 14","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfx19",""
