"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Name.creator","Subject","Type.genre","Name.repository","Relation.isPartOf","Coverage.geographic","Title","Date.creation","Date.normalized","Description.abstract","Alt ID.local","Format.extent","Format.dimensions","AltTitle.descriptive","Opac url","AltTitle.other","Finding Aid URL","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmsgb","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmsgb_1296596_master.tif","1","","","","","","","text","","","","","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsgb",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmshv","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmshv_1296599_master.tif","2","","","","","","","text","","","","","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmshv",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmsjc","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmsjc_1296602_master.tif","3","","","","","","","text","","","","","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsjc",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmskw","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmskw_1296605_master.tif","4","","","","","","","text","","","","","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmskw",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmsmd","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmsmd_1296608_master.tif","5","","","","","","","text","","","","","","","","page 5","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsmd",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmsnx","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmsnx_1296611_master.tif","6","","","","","","","text","","","","","","","","page 6","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsnx",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmspf","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmspf_1296614_master.tif","7","","","","","","","text","","","","","","","","page 7","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmspf",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmsqz","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmsqz_1296617_master.tif","8","","","","","","","text","","","","","","","","page 8","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsqz",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmsrg","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmsrg_1296620_master.tif","9","","","","","","","text","","","","","","","","page 9","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsrg",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmss0","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmss0_1296623_master.tif","10","","","","","","","text","","","","","","","","page 10","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmss0",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmsth","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmsth_1296626_master.tif","11","","","","","","","text","","","","","","","","page 11","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsth",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmsv1","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmsv1_1296629_master.tif","12","","","","","","","text","","","","","","","","page 12","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsv1",""
