"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Type.genre","Subject","Rights.rightsHolderName","Language","Name.photographer","Rights.permission","Name.repository","Name.creator","Rights.rightsHolderContact","Rights.servicesContact","Alt ID.local","Format.extent","Date.normalized","Date.creation","Relation.isPartOf","Title","AltTitle.other","Description.note","Summary","Finding Aid URL","Opac url","Format.dimensions","Bucketeer State","IIIF Access URL"
"University Archives Biographical Files","ark:/21198/zz001cmrqt","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cmrqt_752625_master.tif","1","","","","text","","","","","copyrighted","speeches","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-1","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 1","","Digitization took place as part of the California Cultures Project.","","","","28 x 22 cm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cmrqt"
"University Archives Biographical Files","ark:/21198/zz001cmrrb","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cmrrb_752638_master.tif","2","","","","text","","","","","copyrighted","speeches","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-2","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 2","","Digitization took place as part of the California Cultures Project.","","","","28 x 22 cm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cmrrb"
"University Archives Biographical Files","ark:/21198/zz001cmrsv","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cmrsv_752645_master.tif","3","","","","text","","","","","copyrighted","speeches","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-3","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 3","","Digitization took place as part of the California Cultures Project.","","","","28 x 22 cm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cmrsv"
"University Archives Biographical Files","ark:/21198/zz001cmrtc","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cmrtc_752661_master.tif","4","","","","text","","","","","copyrighted","","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-4","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 4","","Digitization took place as part of the California Cultures Project.","","","","28 x 22 cm.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cmrtc"
"University Archives Biographical Files","ark:/21198/zz001cmrvw","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cmrvw_752664_master.tif","5","","","","text","","","","","copyrighted","speeches","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-5","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 5","","Digitization took place as part of the California Cultures Project.","","","","28 x 22 cm.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cmrvw"
"University Archives Biographical Files","ark:/21198/zz001cmrwd","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cmrwd_752670_master.tif","6","","","","text","","","","","copyrighted","speeches","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-6","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 6","","Digitization took place as part of the California Cultures project.","","","","28 x 22 cm.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cmrwd"
"University Archives Biographical Files","ark:/21198/zz001cmrxx","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cmrxx_752676_master.tif","7","","","","text","","","","","copyrighted","speeches","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-7","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 7","","Digitization took place as part of the California Cultures project.","","","","28 x 22 cm.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cmrxx"
"University Archives Biographical Files","ark:/21198/zz001cmrzf","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cmrzf_752682_master.tif","8","","","","text","","","","","copyrighted","speeches","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-8","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 8","","Digitization took place as part of the California Cultures project.","","","","28 x 22 cm.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cmrzf"
"University Archives Biographical Files","ark:/21198/zz001cms0f","ark:/21198/zz001cmrns","2","Completed","Page","uabiofiles/masters/21198-zz001cms0f_752685_master.tif","9","","","","text","","","","","copyrighted","speeches","Democracy|~|Baccalaureate addressess--University of California, Los Angeles|~|University of California, Los Angeles |~|Bunche, Ralph J. (Ralph Johnson), 1904-1971 |~|International relations","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_2-9","1 p.","1950-06-18","June 18, 1950","http://calcultures.cdlib.org","Address, to be delivered at commencement exercises, University of California at Los Angeles, Sunday, June 18, 1950; page 9","","Digitization took place as part of the California Cultures project.","","","","28 x 22 cm.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cms0f"
"University Archives Biographical Files","ark:/21198/zz001cn1pm","ark:/21198/zz001cn0p4","2","Completed","Page","uabiofiles/masters/21198-zz001cn1pm_752700_master.tif","1","","","","text","","","","","copyrighted","pamphlets","University of California, Los Angeles--Students|~|United States--Race Relations|~|University of California, Los Angeles--Buildings","Regents of the University of California, UCLA Library.","eng","","Y","UCLA University Archives","Bunche, Ralph J. (Ralph Johnson), 1904-1971","University Archives, Room 330, Powell Library, Box 951575, University of California, Los Angeles, CA 90095-1575","","uclaua_745_fBunche_1-1","1 p.","1969-05-23","May 23, 1969","http://calcultures.cdlib.org","Dedication of Ralph Bunche Hall, University of California, Los Angeles, May 23, 1969; front cover","","Digitization took place as part of the California Cultures project.","","","","22 x 14 cm.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001cn1pm"
