"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Title","Subject","AltTitle.other","Description.note","Summary","Alt ID.local","Date.creation","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Wingfield (Michael) Collection","ark:/21198/z1bz7smw","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7smw",""
"Wingfield (Michael) Collection","ark:/21198/z17671wv","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17671wv",""
"Wingfield (Michael) Collection","ark:/21198/z13f698w","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f698w",""
"Wingfield (Michael) Collection","ark:/21198/z1zp5ss6","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp5ss6",""
"Wingfield (Michael) Collection","ark:/21198/z1v13rdm","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13rdm",""
"Wingfield (Michael) Collection","ark:/21198/z1q830r5","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q830r5",""
"Wingfield (Michael) Collection","ark:/21198/z1kh27x3","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_007.tif","7","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh27x3",""
"Wingfield (Michael) Collection","ark:/21198/z1fr1h5b","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_008.tif","8","","","","","","","","","","","","Page 8","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1h5b",""
"Wingfield (Michael) Collection","ark:/21198/z1b00rfx","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_009.tif","9","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b00rfx",""
"Wingfield (Michael) Collection","ark:/21198/z16700tx","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_010.tif","10","","","","","","","","","","","","Page 10","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16700tx",""
"Wingfield (Michael) Collection","ark:/21198/z12f984h","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_011.tif","11","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f984h",""
"Wingfield (Michael) Collection","ark:/21198/z1xs7g13","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_012.tif","12","","","","","","","","","","","","Page 12","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7g13",""
