"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Title","Subject","AltTitle.other","Description.note","Summary","Alt ID.local","Date.creation","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Wingfield (Michael) Collection","ark:/21198/z1m91w89","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m91w89",""
"Wingfield (Michael) Collection","ark:/21198/z1gj14n9","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj14n9",""
"Wingfield (Michael) Collection","ark:/21198/z1bs0cvp","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0cvp",""
"Wingfield (Michael) Collection","ark:/21198/z1709n27","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709n27",""
"Wingfield (Michael) Collection","ark:/21198/z1378w92","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1378w92",""
"Wingfield (Michael) Collection","ark:/21198/z1zg8ctr","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8ctr",""
"Wingfield (Michael) Collection","ark:/21198/z1tq7n6s","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_007.tif","7","","","","","","","","","","","","Page 7","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7n6s",""
"Wingfield (Michael) Collection","ark:/21198/z1q25kwp","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_008.tif","8","","","","","","","","","","","","Page 8","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25kwp",""
"Wingfield (Michael) Collection","ark:/21198/z1k94v78","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_009.tif","9","","","","","","","","","","","","Page 9","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k94v78",""
"Wingfield (Michael) Collection","ark:/21198/z1fj43hx","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_010.tif","10","","","","","","","","","","","","Page 10","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj43hx",""
