"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Subject","Relation.isPartOf","Name.creator","Name.architect","Name.repository","Name.photographer","Alt ID.local","Date.creation","Title","Date.normalized","Format.extent","Format.dimensions","Description.abstract","AltTitle.other","Alt ID.OPAC","Alt ID.url","thumbnailImageName","masterImageName"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093kvj","","2","Completed","Collection","","","","","","","Architects--California, Southern|~|Pratt, Ernest Mitchell, 1876-1945--Archives|~|Photographers--California, Southern--Archival resources|~|Architectural photography--California, Southern|~|Baker, Viroque--Archives","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","Pratt, Ernest Mitchell, 1876-1945","","University of California, Los Angeles. $b Library Special Collections","","Collection 2109","circa 1915-1929","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture, ca. 1915-1929","1914/1930","","","Mark Daniels was a Southern California architect who designed homes and gardens in the Bel Air area of Los Angeles and vicinity. Ernest Mitchell Pratt and Viroque Baker photographed Daniels' houses and landscape architecture to be published in magazines such as Country life and Town and country review, mostly in the 1920s. The collection consists of 148 mounted photographs of Mark Daniels' architecture and landscape architecture in Southern California, mostly in the Bel Air area of Los Angeles.","Pratt Photographs of Mark Daniels Architecture","2722964","http://www.oac.cdlib.org/findaid/ark:/13030/kt1v19n819","",""
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093wzf","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093wzf-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_003","n.d.","A.E Bell Gardens: fountain[?] with staircases wrapping around both sides [color scan]","","1 photographic print","25 x 20 cm. (10 x 8 in.)","","","","","21198-zz00093wzf-1-thumbnail.jpg","21198-zz00093wzf-1-master.tif"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093x0f","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093x0f-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_007","n.d.","A.E Bell Gardens: terrace with relief planter looking down allée descending hillside [color scan]","","1 photographic print","25 x 20 cm. (10 x 8 in.)","","","","","21198-zz00093x0f-1-thumbnail.jpg","21198-zz00093x0f-1-master.tif"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093x1z","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093x1z-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_009","n.d.","A.E Bell Gardens: concrete stairway leading to terrace [color scan]","","1 photographic print","25 x 20 cm. (10 x 8 in.)","","","","","21198-zz00093x1z-1-thumbnail.jpg","21198-zz00093x1z-1-master.tif"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093x2g","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093x2g-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_008","n.d.","A.E Bell Gardens: stone staircase [color scan]","","1 photographic print","25 x 20 cm. (10 x 8 in.)","","","","","21198-zz00093x2g-1-thumbnail.jpg","21198-zz00093x2g-1-master.tif"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093x30","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093x30-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_005","n.d.","A.E Bell Gardens: terrace with boundary wall and relief planter [color scan]","","1 photographic print","25 x 31 cm. (10 x 12 in.)","","","","","21198-zz00093x30-1-thumbnail.jpg","21198-zz00093x30-1-master.tif"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093x4h","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093x4h-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_004","n.d.","A.E Bell Gardens: driveway with stone wall [color scan]","","1 photographic print","25 x 20 cm. (10 x 8 in.)","","","","","21198-zz00093x4h-1-thumbnail.jpg","21198-zz00093x4h-1-master.tif"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093x6j","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093x6j-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_006","n.d.","A.E Bell Gardens: terrace with boundary wall [color scan]","","1 photographic print","25 x 20 cm. (10 x 8 in.)","","","","","21198-zz00093x6j-1-thumbnail.jpg","21198-zz00093x6j-1-master.tif"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093x72","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093x72-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_001","n.d.","Bridge in Bel-Air, Calif. [color scan]","","1 photographic print","31 x 23 cm. (12 x 9 in.)","","","","","21198-zz00093x72-1-thumbnail.jpg","21198-zz00093x72-1-master.tif"
"Pratt (Ernest M.) Photographs of Mark Daniels' Architecture.  Collection 2109","ark:/21198/zz00093x8k","ark:/21198/zz00093kvj","2","Completed","Work","pratt/masters/21198-zz00093x8k-1-master.tif","","","","still image","Black-and-white photographs|~|Architectural photographs","","Ernest Mitchell Pratt Photographs of Mark Daniels' Architecture. Department of Special Collections, Charles E. Young Research Library, UCLA","","Daniels, Mark, $d 1881-1952","University of California, Los Angeles. $b Library Special Collections","Pratt, Ernest Mitchell, 1876-1945","clus_2109_b1_002","n.d.","A.E Bell Gardens: stone terraced allée descending hillside [color scan]","","1 photographic print","25 x 20 cm. (10 x 8 in.)","","","","","21198-zz00093x8k-1-thumbnail.jpg","21198-zz00093x8k-1-master.tif"
