"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Subject","Name.creator","Name.contributor","Name.interviewer","Name.subject","Name.interviewee","Name.photographer","Name.repository","Language","Alt ID.local","Format.medium","Title","Date.creation","Coverage.temporal","Description.abstract","Publisher.publisherName","Relation.isPartOf","Format.extent","Description.note","Source","Relation.relatedTo","AltTitle.uniform","Description.biographicalNote","Coverage.geographic","Description.tableOfContents","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"American College of Neuropsychopharmacology","ark:/21198/z1544cnd","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544cnd",""
"American College of Neuropsychopharmacology","ark:/21198/z11c3mz4","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3mz4",""
"American College of Neuropsychopharmacology","ark:/21198/z1wm34hp","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm34hp",""
"American College of Neuropsychopharmacology","ark:/21198/z1rv2cvv","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2cvv",""
"American College of Neuropsychopharmacology","ark:/21198/z1n31n2z","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31n2z",""
"American College of Neuropsychopharmacology","ark:/21198/z1hb0w9s","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb0w9s",""
"American College of Neuropsychopharmacology","ark:/21198/z1cn8v07","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8v07",""
"American College of Neuropsychopharmacology","ark:/21198/z17w837f","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_008.tif","8","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w837f",""
"American College of Neuropsychopharmacology","ark:/21198/z1447bjg","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_009.tif","9","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447bjg",""
"American College of Neuropsychopharmacology","ark:/21198/z10c6kv6","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_010.tif","10","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6kv6",""
"American College of Neuropsychopharmacology","ark:/21198/z1vm63c9","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_011.tif","11","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm63c9",""
"American College of Neuropsychopharmacology","ark:/21198/z1qv5bnk","ark:/21198/zz001nf74v","","","Page","acnp/image/21198-zz001nf74v-1-master_012.tif","12","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5bnk",""
