"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Subject","Name.creator","Name.contributor","Name.interviewer","Name.subject","Name.interviewee","Name.photographer","Name.repository","Language","Alt ID.local","Format.medium","Title","Date.creation","Coverage.temporal","Description.abstract","Publisher.publisherName","Relation.isPartOf","Format.extent","Description.note","Source","Relation.relatedTo","AltTitle.uniform","Description.biographicalNote","Coverage.geographic","Description.tableOfContents","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"American College of Neuropsychopharmacology","ark:/21198/z12c0p4c","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0p4c",""
"American College of Neuropsychopharmacology","ark:/21198/z1xp8w2v","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp8w2v",""
"American College of Neuropsychopharmacology","ark:/21198/z1sx8492","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8492",""
"American College of Neuropsychopharmacology","ark:/21198/z1p57ckn","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57ckn",""
"American College of Neuropsychopharmacology","ark:/21198/z1jd6mwc","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6mwc",""
"American College of Neuropsychopharmacology","ark:/21198/z1dn5w52","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn5w52",""
"American College of Neuropsychopharmacology","ark:/21198/z18w54fq","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w54fq",""
"American College of Neuropsychopharmacology","ark:/21198/z1544cpv","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_008.tif","8","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544cpv",""
"American College of Neuropsychopharmacology","ark:/21198/z11g2bbd","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_009.tif","9","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2bbd",""
"American College of Neuropsychopharmacology","ark:/21198/z1wq1tvq","ark:/21198/zz001nf9hh","","","Page","acnp/image/21198-zz001nf9hh-1-master_010.tif","10","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1tvq",""
