"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Subject","Name.creator","Name.contributor","Name.interviewer","Name.subject","Name.interviewee","Name.photographer","Name.repository","Language","Alt ID.local","Format.medium","Title","Date.creation","Coverage.temporal","Description.abstract","Publisher.publisherName","Relation.isPartOf","Format.extent","Description.note","Source","Relation.relatedTo","AltTitle.uniform","Description.biographicalNote","Coverage.geographic","Description.tableOfContents","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"American College of Neuropsychopharmacology","ark:/21198/z19s3g4b","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3g4b",""
"American College of Neuropsychopharmacology","ark:/21198/z1612qdx","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612qdx",""
"American College of Neuropsychopharmacology","ark:/21198/z1281zp6","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1281zp6",""
"American College of Neuropsychopharmacology","ark:/21198/z1xh1g86","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1g86",""
"American College of Neuropsychopharmacology","ark:/21198/z1sr0qjg","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0qjg",""
"American College of Neuropsychopharmacology","ark:/21198/z1nz9zsr","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9zsr",""
"American College of Neuropsychopharmacology","ark:/21198/z1j97xjz","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j97xjz",""
"American College of Neuropsychopharmacology","ark:/21198/z1dj75s5","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_008.tif","8","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj75s5",""
"American College of Neuropsychopharmacology","ark:/21198/z18s6f1d","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_009.tif","9","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6f1d",""
"American College of Neuropsychopharmacology","ark:/21198/z1515pbf","ark:/21198/zz001nf9j1","","","Page","acnp/image/21198-zz001nf9j1-1-master_010.tif","10","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515pbf",""
