Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Subject.descriptiveTopic,Type.typeOfResource,Rights.copyrightStatus,Subject.conceptTopic,Name.sponsor,Subject.corporateName,"Subject.Jones, Marcia : local",Subject.otherTopic,Publisher.publisherName,Name.photographer,Name.designer,Name.creator,Name.printer,Name.conceptor,Name.artist,Author,Name.musician,Name.funder,Name.other,Rights.rightsHolderContact,Name.writer,Name.repository,Editor,Language,Coverage.geographic,Name.actress,Name.artDirector,Type.genre,Name.publishingDirector,Rights.permission,Name.subject,Rights.servicesContact,Alternate Identifier.local,Title,AltTitle.other,Description.note,Publisher.placeOfOrigin,Date.publication,Format.dimensions,AltTitle.translated,Description.condition,Description.caption,Alternate Title.descriptive,Date.normalized,Relation.hasVersion,Relation.derivedFrom,Summary,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL,Representative Image,Masthead
AIDS Posters Collection,ark:/21198/zz0002ksb2,,2,Completed,Collection,,,,,,Acquired Immunodeficiency Syndrome--Pictorial Works|~|AIDS (Disease)--Prevention--Pictorial works|~|HIV infections--Pictorial works|~|AIDS (Disease)--Pictorial works|~|Acquired Immunodeficiency Syndrome--prevention & control--Pictorial Works,still image,unknown,,,,,,,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,,posters,,,,Louise M. Darling Biomedical Library,POSTERS,AIDS Posters Collection,Ms. Coll. 306|~|AIDS posters,,Los Angeles (Calif.),1987-2009,<1148> posters,,,,,1987/2009,,,"Digitized AIDS posters from 44 countries. Demonstrates the efforts taken by various countries to promote AIDS awareness and modify risk behaviors.  The physical collection was originally acquired by the History and Special Collections division of the Louise M. Darling Biomedical Library in 2005, and has been expanded through later acquisitions.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5747262,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0002ksb2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002knp9,"/104,79,4584,1846/full/0/default.jpg"
AIDS Posters Collection,ark:/21198/zz0002jp84,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at002.tif,,,,,Eyes|~|Indigenous peoples--Arts & crafts|~|Paintings,still image,Under copyright; used by permission,Indigenous peoples--Australia|~|AIDS (Disease)--Patients--Social networks|~|Acquired Immunodeficiency Syndrome,,,,,"Australia. Dept. of Health, Housing, Local Government and Community Services",,,,,,"Bancroft, Bronwyn",,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT002,Caring for people with AIDS [inscribed],Everybody's business,"Poster depicts a painting by Australian Aboriginal artist, Bronwyn Bancroft, inside a black border with white text. Painting has a  multi-colored wavy background with two black silhouettes reaching toward each other and the image of an eye in between them.|~|Part of the ""Everybody's business"" campaign.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT002.",Australia,c1992,89 x 64 cm. (35 x 25 in.),,Additional poster text: This painting shows that people can safely care for family and friends with AIDS. The waves around the central image suggest the warmth of friendship and love that can greatly benefit the well-being of someone with AIDS. In the center is an eye looking towards the future when a cure will hopefully be found.,,,1992,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jp84,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jp84/manifest,,
AIDS Posters Collection,ark:/21198/zz0002jpb5,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at003.tif,,,,,Human life cycle|~|Indigenous peoples--Arts & crafts|~|Paintings|~|Nature,still image,unknown,Indigenous peoples--Australia|~|AIDS (Disease)--Prevention|~|Acquired Immunodeficiency Syndrome--prevention & control|~|International Year of the World's Indigenous People (Program),,,,,"Australia. Dept. of Health, Housing, Local Government and Community Services",,,,,,"Saunders, Zane",,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT003,Australian aboriginal painting about AIDS [descriptive],,"Poster depicts an Australian aboriginal painting by artist Zane Saunders on a yellow background, with four separate views of details of that painting. It suggests that people are at the center of nature's cycle of life, and that we have a duty to protect human life by using condoms.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT003.",Canberra (A.C.T.),c1993,71 x 61 cm. (28 x 24 in.),,"Poster text: This painting depicts the continuing cycle of life and the role all people must play to ensure an AIDS free future. Dragonflies, frogs, birds, butterfly [sic] and the two people reach out to touch the tree of life and hope and the seeds on the shield. The tree's roots turn into water, the mainstay of life.|~|Additional poster text: This poster was commissioned by the National AIDS campaign of the Commonwealth Department of Health, Housing, Local Government and Community Services in response to the 1993 International Year for the World's Indigenous Peoples which has as its theme, Indigenous People - a New Partnership.",,,1993,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jpb5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jpb5/manifest,,
AIDS Posters Collection,ark:/21198/zz0002jpd6,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at005.tif,,,,,AIDS (Disease)--Patients--Civil rights|~|Photographs|~|Stigma (Social psychology)|~|People,still image,Under copyright; used by permission,Safe sex in AIDS prevention|~|Acquired Immunodeficiency Syndrome|~|Prejudice,,,,,Australian National Council on AIDS|~|National AIDS Campaign (Australia),,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT005,People with something in common: we are all HIV positive [inscribed],HIV doesn't discriminate... People do,"10 black and white photographs of twelve individuals, primarily men, some with captions. Poster suggests that we all have things in common with people who are HIV positive, and that we shouldn't discriminate against them.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT005.",Australia,[1996?],61 x 43 cm. (24 x 17 in.),,"Additional poster text: Someone's boss, someone's son, someone's child, someone's workmate, someone's friend.",,,1996,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jpd6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jpd6/manifest,,
AIDS Posters Collection,ark:/21198/zz0002jpg7,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at006.tif,,,,,Water|~|Couples,still image,copyrighted|~|Under copyright; used by permission,AIDS (Disease)|~|Acquired Immunodeficiency Syndrome,Melbourne Sexual Health Centre|~|Victorian AIDS Council,,,,Swinburne University of Technology,"Way, Kevan","Davis, Garth|~|Fox, Adam|~|Mitchell, Todd, designer|~|Tsernjavski, Chris",,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,Y,,,AT006,AID S [inscribed],AIDS,"Central image in poster is of a naked man and woman embracing while suspended in water inside a clear plastic bag. The rest of the poster consists of a photo montage including pictures of people, medical supplies, typewriter keys against a dark background. Text suggests the need to confront the reality of AIDS without fear or blame.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT006.",[Hawthorn (Vic.)?],1995,61 x 43 cm. (24 x 17 in.),,,,,1995,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jpg7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jpg7/manifest,,
AIDS Posters Collection,ark:/21198/zz0002jpj8,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at007.tif,,,,,Mothers|~|Infants|~|Lanterns|~|AIDS (Disease)--Transmission,still image,unknown,Acquired Immunodeficiency Syndrome--prevention & control|~|Sadness,,,,,,,,National AIDS Council (Papua New Guinea),,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Papua New Guinea,,,posters,,,,,AT007,It can happen to anyone-- it can happen to you [inscribed],,"A woman sits on the floor on a mat, holding an infant in her lap. She faces a window with partially drawn curtains. The room is dark, lit only by a lantern in the corner and dim light from the window. Poster suggests the mother's moment of realization that, not only is she infected, she has also passed the virus on to her infant.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT007.",Papua New Guinea,Sept. 2001,61 x 43 cm. (24 x 17 in.),,"Additional poster text: ""I never thought AIDS would affect my family. I was always faithful to my husband, but he got the virus. It was only when I gave birth that I found out I had the AIDS virus... and now my baby has it too.""","Protect yourself from AIDS. Don't have sex, be faithful, or always use a condom",,2001-09,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jpj8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jpj8/manifest,,
AIDS Posters Collection,ark:/21198/zz0002jpm9,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at008.tif,,,,,Cemeteries|~|Couples,still image,Under copyright; used by permission,Indigenous peoples--Australia|~|Acquired Immunodeficiency Syndrome--transmission|~|Heterosexuality|~|AIDS (Disease)--Transmission,,,,,"Australia. Dept. of Health, Housing, Local Government and Community Services|~|Aboriginal Health Workers of Australia (Queensland)",,,,,,Redback Graphix (Firm),,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT008,You don't have to be a queenie to get AIDS [inscribed],,"Cartoon depicting a married man who celebrates a ""big day"" by going to a bar and having unprotected sex with someone with AIDS. On returning home, he infects his wife, and they both get sick. He is shown in a hospital bed. The last frame of the cartoon is a cemetery, with four headstones spelling out the word ""AIDS."" The poster suggests that it is not only homosexual men who get, and pass on, the AIDS virus.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT008.|~|Date on back of poster, 1995, reflects when the vendor received the copy later acquired by the UCLA Library.",Sydney (N.S.W.),1988,53 x 76 cm. (21 x 30 in.),,"Additional poster text: A man has sex with someone who has AIDS. He goes back to his wife, who gets AIDS from him. They all get very, very sick. The end.","You can't cure AIDS, you can only be careful! Use a condom",,1988,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jpm9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jpm9/manifest,,
AIDS Posters Collection,ark:/21198/zz0002jppb,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at009.tif,,,,,Superheroes,still image,copyrighted,Indigenous peoples--Australia|~|AIDS (Disease)--Prevention|~|Safe Sex|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,"Australia. Dept. of Health, Housing and Community Services|~|Aboriginal Health Workers of Australia (Queensland)",,,"Australia. Dept. of Health, Housing, Local Government and Community Services",,,Redback Graphix (Firm),,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT009,"Condoman says: Don't be shame, be game. Use condoms! [inscribed]",,"Color illustration of comic book superhero figure Condoman advising the use of condoms. Poster suggests there is nothing shameful about condom use.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT009.|~|Date back of poster, 1996, reflects when the vendor received the copy later acquired by the UCLA Library.",[Queensland],1988,76 x 53 cm. (30 in. x 21 in.),,,,,1988,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jppb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jppb/manifest,,
AIDS Posters Collection,ark:/21198/zz0002jprc,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at010.tif,,,,,Indigenous peoples--Australia|~|Men|~|Women,still image,Under copyright; used by permission,Indigenous peoples--Australia|~|AIDS (Disease)--Prevention|~|Safe Sex|~|Condom use|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,Australia. Dept. of Human Services and Health|~|Aboriginal Health Workers of Australia (Queensland),,,,,,Redback Graphix (Firm),,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT010,"No condom, no way! [inscribed]",,"Multicolored cartoon depicts a man and woman, Australian aborigines, having a conversation on the beach. When the man suggests they get together, the woman asks if he has a condom. The man seems to find the idea of a condom shameful, but the woman insists. The poster suggests that AIDS education is eroding stigmas attached to the use of condoms.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT010.",Australia,1988,53 x 76 cm. (21 x 30 in.),,"Additional poster text: You can't cure AIDS, you can only be careful!",,,1988,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jprc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jprc/manifest,,
AIDS Posters Collection,ark:/21198/zz0002jptd,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/at011.tif,,,,,Couples,still image,Under copyright; used by permission,AIDS (Disease)--Prevention|~|Safe Sex|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,Australian National Council on AIDS|~|National AIDS Campaign (Australia),,TheArtworks,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng,Australia,,,posters,,,,,AT011,Safe sex can be fun [inscribed],,"Multicolor drawing of a couple, one with an arm around the other's shoulders, both wearing T-shirts reading ""Be Safe, Be Sure"" and surrounded by the text of the poster.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item AT011.|~|Date on back of poster, 1995, reflects when the vendor received the copy later acquired by the UCLA Library.",Canberra (A.C.T.),[between 1987 and 1995],43 x 30 cm. (17 x 12 in.),,"Additional poster text: If you kiss, touch, hug, pet or cuddle, you can't get AIDS. Everybody needs to know the facts about safe sex and AIDS. Everybody. And how do you find out? That's easy! Health centres, doctors, youth centres and schools have information on all the facts, and more, that you need to know. If you do have sex, always use a condom.|~|Additional poster text: We do it safely.",,,1987/1995,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002jptd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002jptd/manifest,,
