"Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Name.illuminator","Language","Author","Title","AltTitle.other","Description.note","Date.creation","Summary","Date.normalized","Description.adminnote","Description.contents","Condition note","Illustrations note","Description.colophon","Description.history","Binding note","Format.extent","Alt ID.local","Format.dimensions","Relation.isPartOf","AltTitle.uniform","Place of origin","Bucketeer State","IIIF Access URL"
"Armenian Manuscripts","ark:/21198/zz0009gx2d","","Collection","","","","","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","","","","Armenian Manuscripts","","","","Armenian manuscripts, gifted to the UCLA Library in 1968 by Dr. Garo Owen Minasian of Isfahan, Iran.  The collection includes manuscripts of ecclesiastical character such as gospels, psalters, menologia, and ritual books, as well as theological and philosophical works, medical treatises, and anthologies of poetry.","","","","","","","","","","","","","","","succeeded",
"Armenian Manuscripts","ark:/21198/zz0009gx6g","ark:/21198/zz0009gx2d","Work","paged","","1","text","illuminated manuscripts|~|Illuminations","pd","","University of California, Los Angeles. Library Special Collections","T'oros of Taron  (Gladzor Gospels)|~|Second Painter|~|Third Painter|~|First Painter|~|Fourth Painter","arm","","Manuscript No. 1: Gladzor Gospels","Four Gospels","The manuscript is the work of two scribes (except for the colophons, inscriptions and prefatory material before the Gospel of Matthew, which were done later). The principal scribe wrote the entire text of the four gospels in bolorgir (cursive) script; he also wrote the prefaces and indexes that stand before each gospel. The other scribe wrote the numbers within the Canon Tables, as well as the text of the Eusebian Introduction and the Eusebian numbers throughout the manuscript. (Sanjian, p. 46)","1300-1307","","1300/1307","See Sanjian, Avedis K. Medieval Armenian Manuscripts at the University of California, Los Angeles. Berkeley : University of California Press, 1999.|~|See Mathews, Thomas F. and Sanjian, Avedis K. Armenian Gospel Iconography : the tradition of the Glajor Gospel. Washington, D.C. : Dumbarton Oaks Research Library and Collection, 1991.","","","The illustrations of the codex consist of the Eusebian Prologue, Ten Canon Tables, the portraits of the four evangelists and the incipits to their gospels, 55 miniatures depicting scenes from the life of Christ, and numerous marginal ornaments and decorative initials. The painting of the manuscript was done in two distinct workshops and in two stages. The figurative miniatures are the work of five different artists, only one of whom [T'oros of Taron] is known by name. The First Painter and Second Painter worked at the scriptorium of Ełegis or Noravank’. The Third Painter, Fourth Painter and T'oros of Taron completed the illustrations at the monastery at Gladzor.The First Painter did the canon tables and most of the decorated initials and marginal ornaments.The Second Painter painted the portraits of the four evangelists and the incipit pages of their gospels. The Third Painter illuminated seven subjects between pages 92 and 122.The Fourth Painter executed fourteen subjects between pages 124 and 211. The Fifth Painter, T'oros of Taron, is responsible for twenty-three narrative scenes.  (Sanjian, p. 53, 57-58)","","Executed for an important ecclesiastical figure in the early fourteenth century, [the Gladzor Gospels] passed in 1377 into the private possession of the Ōrbēlian princely family, who, after its capture and redemption from the Mongols, deposited it in the monastery of Gełard in 1393-1404. Here it seems to have remained until the beginning of the seventeenth century, when it accompanied the Armenian exodus to New Julfa. At that time it was probably placed in the church of Mec Xōĵenc’ or St. George, where it remained until that church gave it to a priest named Yōvakim Abraham in 1824. Thereafter it seems to have remained in the private possession of individual priests, changing hands once again in 1901, before finally being acquired by Dr. [Garo Owen] Minasian. There is no precise information as to when and from whom Dr. Minasian acquired the book. (Sanjian, p. 52)","The Index to the Gospel of Matthew is incomplete; only 19 of the 69 entries have been written in. Several folios are missing; the second gathering lacks its initial leaf, as well as the miniature of the Baptism; the ninth gathering, which consisted of only two bifolia, lacks the conjugate leaf at the start, which most likely had the original dedicatory colophon of the manuscript. In the colophon of 1393-1404 a leaf is missing between pages 578 and 579. Also lacking are the traditional endleaves, which in Armenia were reused from older manuscripts as a way of sanctifying the new one; possibly this was a casualty of the nineteenth-century rebinding. (Sanjian, p. 49)","1 volume (582 pages)","Armenian MS. 1|~|170/466","23.5 x 17.6 cm (average)","Collection of Armenian Manuscripts (Collection 2089), Department of Special Collections, Charles E. Young Research Library, UCLA","","","failed",
"Armenian Manuscripts","ark:/21198/zz00159nnt","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz00159nnt-1-master.tif","1","text","","pd","","","","","","[Gladzor Gospels: front cover]","","Persian lacquered covers of the Qajar period. (Sanjian, p. 48)","c. 1824-5","","1824/1825","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159nnt"
"Armenian Manuscripts","ark:/21198/zz00159npb","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz00159npb-1-master.tif","2","text","","pd","","","","","","[Gladzor Gospels: inside front cover]","","Persian lacquered covers of the Qajar period. (Sanjian, p. 48)","c. 1824-5","","1824/1825","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159npb"
"Armenian Manuscripts","ark:/21198/zz0009h15v","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h15v-1-master.tif","3","text","","pd","","","","arm","","[Gladzor Gospels: page 1]","Inscription of the owner, Baroness Vaxax.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h15v"
"Armenian Manuscripts","ark:/21198/zz0009h16c","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h16c-1-master.tif","4","text","","pd","","","","","","[Gladzor Gospels: page 2]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h16c"
"Armenian Manuscripts","ark:/21198/zz0009h17w","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h17w-1-master.tif","5","text","","pd","","","","","","[Gladzor Gospels: page 3]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h17w"
"Armenian Manuscripts","ark:/21198/zz0009h18d","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h18d-1-master.tif","6","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 4]","Canon Table, Eusebian Prologue, with portrait of Eusebius.","Eusebius' Letter to Carpianos.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h18d"
"Armenian Manuscripts","ark:/21198/zz0009h19x","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h19x-1-master.tif","7","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 5]","Canon Table, Eusebian Prologue, with portrait of Carpianos.","Eusebius' Letter to Carpianos.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h19x"
"Armenian Manuscripts","ark:/21198/zz0009h1bf","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1bf-1-master.tif","8","text","","pd","","","","","","[Gladzor Gospels: page 6]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1bf"
