"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.42: front cover","Armenian Manuscripts","ark:/21198/zz00271n4p","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_001.tif","1","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271n4p",""
"Manuscript No.42: title page (notes)","Armenian Manuscripts","ark:/21198/zz00271n56","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_002.tif","2","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271n56",""
"Manuscript No.42: blank page","Armenian Manuscripts","ark:/21198/zz00271n6q","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_003.tif","3","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271n6q",""
"Manuscript No.42: title page","Armenian Manuscripts","ark:/21198/zz00271n77","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_004.tif","4","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271n77",""
"Manuscript No.42: blank page","Armenian Manuscripts","ark:/21198/zz00271n8r","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_005.tif","5","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271n8r",""
"Manuscript No.42: fol. 1r","Armenian Manuscripts","ark:/21198/zz00271n98","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_006.tif","6","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271n98",""
"Manuscript No.42: fol. 1v","Armenian Manuscripts","ark:/21198/zz00271nbs","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_007.tif","7","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nbs",""
"Manuscript No.42: fol. 2r","Armenian Manuscripts","ark:/21198/zz00271nc9","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_008.tif","8","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nc9",""
"Manuscript No.42: fol. 2v","Armenian Manuscripts","ark:/21198/zz00271ndt","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_009.tif","9","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271ndt",""
"Manuscript No.42: fol. 3r","Armenian Manuscripts","ark:/21198/zz00271nfb","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_010.tif","10","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nfb",""
"Manuscript No.42: 011","Armenian Manuscripts","ark:/21198/zz00271ngv","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_011.tif","11","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271ngv",""
"Manuscript No.42: 012","Armenian Manuscripts","ark:/21198/zz00271nhc","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_012.tif","12","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nhc",""
"Manuscript No.42: 013","Armenian Manuscripts","ark:/21198/zz00271njw","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_013.tif","13","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271njw",""
"Manuscript No.42: 014","Armenian Manuscripts","ark:/21198/zz00271nkd","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_014.tif","14","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nkd",""
"Manuscript No.42: 015","Armenian Manuscripts","ark:/21198/zz00271nmx","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_015.tif","15","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nmx",""
"Manuscript No.42: 016","Armenian Manuscripts","ark:/21198/zz00271nnf","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_016.tif","16","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nnf",""
"Manuscript No.42: 017","Armenian Manuscripts","ark:/21198/zz00271npz","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_017.tif","17","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271npz",""
