Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No.91: 0001,Armenian Manuscripts,ark:/21198/zz00291zg1,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0001.tif,1,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zg1
Manuscript No.91: 0002,Armenian Manuscripts,ark:/21198/zz00291zhj,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0002.tif,2,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zhj
Manuscript No.91: 0003,Armenian Manuscripts,ark:/21198/zz00291zj2,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0003.tif,3,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zj2
Manuscript No.91: 0004,Armenian Manuscripts,ark:/21198/zz00291zkk,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0004.tif,4,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zkk
Manuscript No.91: 0005,Armenian Manuscripts,ark:/21198/zz00291zm3,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0005.tif,5,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zm3
Manuscript No.91: 0006,Armenian Manuscripts,ark:/21198/zz00291znm,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0006.tif,6,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291znm
Manuscript No.91: 0007,Armenian Manuscripts,ark:/21198/zz00291zp4,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0007.tif,7,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zp4
Manuscript No.91: 0008,Armenian Manuscripts,ark:/21198/zz00291zqn,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0008.tif,8,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zqn
Manuscript No.91: 0009,Armenian Manuscripts,ark:/21198/zz00291zr5,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0009.tif,9,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zr5
Manuscript No.91: 0010,Armenian Manuscripts,ark:/21198/zz00291zsp,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0010.tif,10,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zsp
Manuscript No.91: 0011,Armenian Manuscripts,ark:/21198/zz00291zt6,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0011.tif,11,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zt6
Manuscript No.91: 0012,Armenian Manuscripts,ark:/21198/zz00291zvq,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0012.tif,12,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zvq
Manuscript No.91: 0013,Armenian Manuscripts,ark:/21198/zz00291zw7,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0013.tif,13,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zw7
Manuscript No.91: 0014,Armenian Manuscripts,ark:/21198/zz00291zxr,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0014.tif,14,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zxr
Manuscript No.91: 0015,Armenian Manuscripts,ark:/21198/zz00291zz8,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0015.tif,15,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291zz8
Manuscript No.91: 0016,Armenian Manuscripts,ark:/21198/zz0029200q,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0016.tif,16,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029200q
Manuscript No.91: 0017,Armenian Manuscripts,ark:/21198/zz00292017,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0017.tif,17,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292017
Manuscript No.91: 0018,Armenian Manuscripts,ark:/21198/zz0029202r,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0018.tif,18,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029202r
Manuscript No.91: 0019,Armenian Manuscripts,ark:/21198/zz00292038,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0019.tif,19,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292038
Manuscript No.91: 0020,Armenian Manuscripts,ark:/21198/zz0029204s,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0020.tif,20,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029204s
