"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Rights.copyrightStatus","Rights.notice","Rights.countryCreation","Rights.creatorCorporate","Name.creator","Subject.descriptiveTopic","Type.typeOfResource","Type.genre","Name.repository","Name.performer","Name.composer","Rights.generalNote","Rights.servicesContact","Description.note","Title","AltIdentifier.local","Date.creation","Format.dimensions","Format.medium","Relation.isPartOf","Date.digitized","Format.extent","Description.tableOfContents","Description.abstract","Waveform","media.width","media.height","media.duration","media.format","IIIF Manifest URL"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vpg","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vpg-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/pg/21198=zz00090vpg/ark%2B=21198=zz00090vpg.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Location: Los Angeles, California.|~|Performer: Bates Murray|~|Title from tape: Bates Murray","Bates Murray's Personal Story (?)","clym200203acwf005-58_side1-09","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","05m 01s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vpg%2Faudiowaveform.dat","","","301.541667","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vpg/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vq0","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vq0-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/q0/21198=zz00090vq0/ark%2B=21198=zz00090vq0.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Performer: Bates Murray|~|Location: Los Angeles, California.|~|Title from tape: Bates Murray","Ode to Methodism","clym200203acwf005-58_side1-10","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","03m 03s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vq0%2Faudiowaveform.dat","","","183.082802","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vq0/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vrh","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vrh-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/rh/21198=zz00090vrh/ark%2B=21198=zz00090vrh.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Location: Los Angeles, California.|~|Performer: Bates Murray|~|Title from tape: Bates Murray","Prayer","clym200203acwf005-58_side1-11","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","01m 32s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vrh%2Faudiowaveform.dat","","","92.86251","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vrh/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vs1","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vs1-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/s1/21198=zz00090vs1/ark%2B=21198=zz00090vs1.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Performer: Bates Murray|~|Location: Los Angeles, California.|~|Title from tape: Bates Murray","Ode to Christianity","clym200203acwf005-58_side1-12","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","01m 34s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vs1%2Faudiowaveform.dat","","","94.568927","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vs1/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vtj","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vtj-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/tj/21198=zz00090vtj/ark%2B=21198=zz00090vtj.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Performer: Bates Murray|~|Location: Los Angeles, California.|~|Title from tape: Bates Murray","Roland Hayes","clym200203acwf005-58_side1-13","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","02m 02s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vtj%2Faudiowaveform.dat","","","122.752448","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vtj/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vv2","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vv2-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/v2/21198=zz00090vv2/ark%2B=21198=zz00090vv2.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Location: Los Angeles, California.|~|Title from tape: Bates Murray|~|Performer: Bates Murray","Radio Selection","clym200203acwf005-58_side1-14","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","01m 44s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vv2%2Faudiowaveform.dat","","","104.639354","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vv2/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vwk","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vwk-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/wk/21198=zz00090vwk/ark%2B=21198=zz00090vwk.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Location: Los Angeles, California.|~|Performer: Bates Murray|~|Title from tape: Bates Murray","In Loving Remembrance of Mother's Care","clym200203acwf005-58_side1-15","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","03m 15s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vwk%2Faudiowaveform.dat","","","195.393469","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vwk/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vx3","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vx3-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/x3/21198=zz00090vx3/ark%2B=21198=zz00090vx3.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Location: Los Angeles, California.|~|Performer: Bates Murray|~|Title from tape: Bates Murray","Marian Anderson","clym200203acwf005-58_side1-16","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","01m 20s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vx3%2Faudiowaveform.dat","","","80.101833","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vx3/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090vzm","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090vzm-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0v/zm/21198=zz00090vzm/ark%2B=21198=zz00090vzm.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Title from tape: Bates Murray|~|Location: Los Angeles, California.|~|Performer: Bates Murray","Earl Warren","clym200203acwf005-58_side1-17","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","01m 46s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090vzm%2Faudiowaveform.dat","","","106.361385","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090vzm/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00090w0m","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00090w0m-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/0w/0m/21198=zz00090w0m/ark%2B=21198=zz00090w0m.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Miss Mimi Clar|~|Performer: Bates Murray|~|Location: Los Angeles, California.|~|Title from tape: Bates Murray","No, Never Alone","clym200203acwf005-58_side1-18","1958-04-04","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","00m 57s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00090w0m%2Faudiowaveform.dat","","","57.412917","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090w0m/manifest"
