"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1bg4f32","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002c3kx5_2076338_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4f32",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfpzm","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfpzm_2076341_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfpzm",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq0m","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq0m_2076344_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq0m",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq14","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq14_2076347_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq14",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq2n","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq2n_2076350_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq2n",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq35","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq35_2076355_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq35",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq4p","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq4p_2076358_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq4p",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq56","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq56_2076361_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq56",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq6q","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq6q_2076364_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq6q",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq77","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq77_2076367_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq77",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq8r","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq8r_2076372_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq8r",""
"La Gente de Aztlan Collection","ark:/21198/zz002cfq98","ark:/21198/zz002c3kx5","","","Page","lagen/image/21198-zz002cfq98_2076375_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfq98",""
