"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z18k925q","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002c3n05_2077191_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k925q",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch58x","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch58x_2077194_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch58x",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch59f","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch59f_2077197_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch59f",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5bz","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5bz_2077200_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5bz",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5cg","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5cg_2077203_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5cg",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5d0","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5d0_2077206_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5d0",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5fh","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5fh_2077209_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5fh",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5g1","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5g1_2077212_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5g1",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5hj","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5hj_2077215_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5hj",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5j2","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5j2_2077218_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5j2",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5kk","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5kk_2077221_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5kk",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5m3","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5m3_2077224_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5m3",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5nm","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5nm_2077227_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5nm",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5p4","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5p4_2077230_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5p4",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5qn","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5qn_2077233_master.tif","14","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5qn",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5r5","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5r5_2077236_master.tif","15","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5r5",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5sp","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5sp_2077239_master.tif","16","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5sp",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5t6","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5t6_2077242_master.tif","17","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5t6",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5vq","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5vq_2077245_master.tif","18","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5vq",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5w7","ark:/21198/zz002c3n05","","","Page","lagen/image/21198-zz002ch5w7_2077248_master.tif","19","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5w7",""
