"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1h14t27","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002c3nv3_2077251_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14t27",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5xr","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch5xr_2077254_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5xr",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch5z8","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch5z8_2077257_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch5z8",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch608","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch608_2077260_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch608",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch61s","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch61s_2077263_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch61s",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch629","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch629_2077266_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch629",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch63t","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch63t_2077269_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch63t",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch64b","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch64b_2077272_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch64b",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch65v","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch65v_2077275_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch65v",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch66c","ark:/21198/zz002c3nv3","","","Page","lagen/image/21198-zz002ch66c_2077278_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch66c",""
