"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1cc2rtq","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002c3p2p_2077731_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2rtq",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6k2","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6k2_2077776_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6k2",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6mk","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6mk_2077821_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6mk",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6n3","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6n3_2077872_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6n3",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6pm","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6pm_2077920_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6pm",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6q4","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6q4_2077950_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6q4",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6rn","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6rn_2077986_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6rn",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6s5","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6s5_2078016_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6s5",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6tp","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6tp_2078058_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6tp",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch6v6","ark:/21198/zz002c3p2p","","","Page","lagen/image/21198-zz002ch6v6_2078100_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch6v6",""
