"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z13v188q","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002c3pdv_2079042_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v188q",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7g0","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7g0_2079081_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7g0",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7hh","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7hh_2079123_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7hh",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7j1","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7j1_2079153_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7j1",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7kj","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7kj_2082945_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7kj",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7m2","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7m2_2082948_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7m2",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7nk","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7nk_2082951_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7nk",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7p3","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7p3_2082954_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7p3",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7qm","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7qm_2082957_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7qm",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7r4","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7r4_2082960_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7r4",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7sn","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7sn_2082963_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7sn",""
"La Gente de Aztlan Collection","ark:/21198/zz002ch7t5","ark:/21198/zz002c3pdv","","","Page","lagen/image/21198-zz002ch7t5_2082966_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ch7t5",""
