"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z16m4zv8","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002c3qq0_2083331_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4zv8",""
"La Gente de Aztlan Collection","ark:/21198/zz002chd26","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chd26_2083336_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chd26",""
"La Gente de Aztlan Collection","ark:/21198/zz002chd3q","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chd3q_2083344_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chd3q",""
"La Gente de Aztlan Collection","ark:/21198/zz002chd47","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chd47_2083347_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chd47",""
"La Gente de Aztlan Collection","ark:/21198/zz002chd5r","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chd5r_2083353_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chd5r",""
"La Gente de Aztlan Collection","ark:/21198/zz002chd68","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chd68_2083360_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chd68",""
"La Gente de Aztlan Collection","ark:/21198/zz002chd7s","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chd7s_2083366_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chd7s",""
"La Gente de Aztlan Collection","ark:/21198/zz002chd89","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chd89_2083372_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chd89",""
"La Gente de Aztlan Collection","ark:/21198/zz002chd9t","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chd9t_2083378_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chd9t",""
"La Gente de Aztlan Collection","ark:/21198/zz002chdbb","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chdbb_2083384_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chdbb",""
"La Gente de Aztlan Collection","ark:/21198/zz002chdcv","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chdcv_2083390_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chdcv",""
"La Gente de Aztlan Collection","ark:/21198/zz002chddc","ark:/21198/zz002c3qq0","","","Page","lagen/image/21198-zz002chddc_2083396_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chddc",""
