"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1pk2769","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002c3rdt_2083479_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk2769",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgmf","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgmf_2083488_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgmf",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgnz","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgnz_2083497_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgnz",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgpg","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgpg_2083506_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgpg",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgq0","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgq0_2083515_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgq0",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgrh","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgrh_2083525_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgrh",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgs1","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgs1_2083533_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgs1",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgtj","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgtj_2083565_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgtj",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgv2","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgv2_2083573_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgv2",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgwk","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgwk_2083581_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgwk",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgx3","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgx3_2083592_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgx3",""
"La Gente de Aztlan Collection","ark:/21198/zz002chgzm","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chgzm_2083599_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chgzm",""
"La Gente de Aztlan Collection","ark:/21198/zz002chh0m","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chh0m_2083608_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chh0m",""
"La Gente de Aztlan Collection","ark:/21198/zz002chh14","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chh14_2083617_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chh14",""
"La Gente de Aztlan Collection","ark:/21198/zz002chh2n","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chh2n_2083626_master.tif","14","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chh2n",""
"La Gente de Aztlan Collection","ark:/21198/zz002chh35","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chh35_2083635_master.tif","15","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chh35",""
"La Gente de Aztlan Collection","ark:/21198/zz002chh4p","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chh4p_2083644_master.tif","16","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chh4p",""
"La Gente de Aztlan Collection","ark:/21198/zz002chh56","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chh56_2083653_master.tif","17","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chh56",""
"La Gente de Aztlan Collection","ark:/21198/zz002chh6q","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chh6q_2083663_master.tif","18","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chh6q",""
"La Gente de Aztlan Collection","ark:/21198/zz002chh77","ark:/21198/zz002c3rdt","","","Page","lagen/image/21198-zz002chh77_2083671_master.tif","19","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002chh77",""
