"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1hx34q2","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002c3xb6_2084998_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx34q2",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj31s","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj31s_2085022_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj31s",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj329","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj329_2085039_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj329",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj33t","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj33t_2085073_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj33t",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj34b","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj34b_2085094_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj34b",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj35v","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj35v_2085115_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj35v",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj36c","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj36c_2085133_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj36c",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj37w","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj37w_2085150_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj37w",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj38d","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj38d_2085170_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj38d",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj39x","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj39x_2085185_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj39x",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj3bf","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj3bf_2085202_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj3bf",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj3cz","ark:/21198/zz002c3xb6","","","Page","lagen/image/21198-zz002cj3cz_2089371_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj3cz",""
