"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1gx63kp","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002c3xmb_2089678_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx63kp",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7cw","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7cw_2089696_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7cw",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7dd","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7dd_2089716_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7dd",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7fx","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7fx_2089733_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7fx",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7gf","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7gf_2089749_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7gf",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7hz","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7hz_2089767_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7hz",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7jg","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7jg_2089786_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7jg",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7k0","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7k0_2089803_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7k0",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7mh","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7mh_2089821_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7mh",""
"La Gente de Aztlan Collection","ark:/21198/zz002cj7n1","ark:/21198/zz002c3xmb","","","Page","lagen/image/21198-zz002cj7n1_2089839_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cj7n1",""
