"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1hq5r17","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjrvc_2091117_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5r17",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs1f","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs1f_2091136_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs1f",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs2z","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs2z_2091159_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs2z",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs3g","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs3g_2091173_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs3g",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs40","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs40_2091190_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs40",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs5h","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs5h_2091206_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs5h",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs61","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs61_2091226_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs61",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs7j","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs7j_2091243_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs7j",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs82","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs82_2091260_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs82",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjs9k","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjs9k_2091278_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjs9k",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjsb3","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjsb3_2091296_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjsb3",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjscm","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjscm_2091315_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjscm",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjsd4","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjsd4_2091332_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjsd4",""
"La Gente de Aztlan Collection","ark:/21198/zz002cjsfn","ark:/21198/zz002cjrvc","","","Page","lagen/image/21198-zz002cjsfn_2091353_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cjsfn",""
