"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1698vm9","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck8wk_2091881_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698vm9",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck998","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck998_2091900_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck998",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9bs","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9bs_2091918_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9bs",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9c9","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9c9_2091934_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9c9",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9dt","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9dt_2091958_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9dt",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9fb","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9fb_2091969_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9fb",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9gv","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9gv_2091988_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9gv",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9hc","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9hc_2092007_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9hc",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9jw","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9jw_2092026_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9jw",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9kd","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9kd_2092044_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9kd",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9mx","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9mx_2092062_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9mx",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9nf","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9nf_2092080_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9nf",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9pz","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9pz_2092097_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9pz",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9qg","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9qg_2092112_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9qg",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9r0","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9r0_2092126_master.tif","14","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9r0",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9sh","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9sh_2092142_master.tif","15","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9sh",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9t1","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9t1_2092157_master.tif","16","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9t1",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9vj","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9vj_2092172_master.tif","17","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9vj",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9w2","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9w2_2092187_master.tif","18","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9w2",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9xk","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9xk_2092202_master.tif","19","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9xk",""
"La Gente de Aztlan Collection","ark:/21198/zz002ck9z3","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ck9z3_2092217_master.tif","20","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ck9z3",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb03","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb03_2092230_master.tif","21","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb03",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb1m","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb1m_2092247_master.tif","22","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb1m",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb24","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb24_2092262_master.tif","23","","","","","","","","","","","","","","","","","","","Page 24","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb24",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb3n","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb3n_2092276_master.tif","24","","","","","","","","","","","","","","","","","","","Page 25","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb3n",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb45","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb45_2092288_master.tif","25","","","","","","","","","","","","","","","","","","","Page 26","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb45",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb5p","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb5p_2092300_master.tif","26","","","","","","","","","","","","","","","","","","","Page 27","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb5p",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb66","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb66_2092312_master.tif","27","","","","","","","","","","","","","","","","","","","Page 28","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb66",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb7q","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb7q_2092322_master.tif","28","","","","","","","","","","","","","","","","","","","Page 29","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb7q",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb87","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb87_2092328_master.tif","29","","","","","","","","","","","","","","","","","","","Page 30","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb87",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckb9r","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckb9r_2092336_master.tif","30","","","","","","","","","","","","","","","","","","","Page 31","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckb9r",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckbb8","ark:/21198/zz002ck8wk","","","Page","lagen/image/21198-zz002ckbb8_2092340_master.tif","31","","","","","","","","","","","","","","","","","","","Page 32","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckbb8",""
