"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z15b1thx","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckk4j_2092975_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b1thx",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkk8","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkk8_2092995_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkk8",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkms","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkms_2093010_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkms",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkn9","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkn9_2093029_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkn9",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkpt","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkpt_2093047_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkpt",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkqb","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkqb_2093065_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkqb",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkrv","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkrv_2093092_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkrv",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckksc","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckksc_2093101_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckksc",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckktw","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckktw_2093120_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckktw",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkvd","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkvd_2093138_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkvd",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkwx","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkwx_2093155_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkwx",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkxf","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkxf_2093173_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkxf",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckkzz","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckkzz_2093191_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckkzz",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckm0z","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckm0z_2093205_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckm0z",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckm1g","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckm1g_2093221_master.tif","14","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckm1g",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckm20","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckm20_2093238_master.tif","15","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckm20",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckm3h","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckm3h_2093250_master.tif","16","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckm3h",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckm41","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckm41_2093265_master.tif","17","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckm41",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckm5j","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckm5j_2093280_master.tif","18","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckm5j",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckm62","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckm62_2093300_master.tif","19","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckm62",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckn2g","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckn2g_2093310_master.tif","20","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckn2g",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckn30","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckn30_2093319_master.tif","21","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckn30",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckn4h","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckn4h_2093327_master.tif","22","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckn4h",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckn51","ark:/21198/zz002ckk4j","","","Page","lagen/image/21198-zz002ckn51_2093334_master.tif","23","","","","","","","","","","","","","","","","","","","Page 24","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckn51",""
