"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1wt0k99","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckk6k_2093376_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0k99",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqgn","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqgn_2093393_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqgn",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqh5","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqh5_2093412_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqh5",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqjp","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqjp_2093429_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqjp",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqk6","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqk6_2093462_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqk6",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqmq","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqmq_2093483_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqmq",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqn7","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqn7_2093502_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqn7",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqpr","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqpr_2093555_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqpr",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqq8","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqq8_2093579_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqq8",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqrs","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqrs_2093593_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqrs",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqs9","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqs9_2093614_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqs9",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqtt","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqtt_2093634_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqtt",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqvb","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqvb_2093655_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqvb",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqwv","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqwv_2093677_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqwv",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqxc","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqxc_2093693_master.tif","14","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqxc",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckqzw","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckqzw_2093719_master.tif","15","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckqzw",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckr0w","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckr0w_2093740_master.tif","16","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckr0w",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckr1d","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckr1d_2093761_master.tif","17","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckr1d",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckr2x","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckr2x_2093782_master.tif","18","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckr2x",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckr4z","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckr4z_2093803_master.tif","19","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckr4z",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckr5g","ark:/21198/zz002ckk6k","","","Page","lagen/image/21198-zz002ckr5g_2093824_master.tif","20","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckr5g",""
