"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1835j38","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckx5w_2092974_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835j38",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckzhj","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckzhj_2092992_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckzhj",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckzj2","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckzj2_2093011_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckzj2",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckzkk","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckzkk_2093028_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckzkk",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckzm3","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckzm3_2093046_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckzm3",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckznm","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckznm_2093064_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckznm",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckzp4","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckzp4_2093084_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckzp4",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckzqn","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckzqn_2093100_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckzqn",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckzr5","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckzr5_2093118_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckzr5",""
"La Gente de Aztlan Collection","ark:/21198/zz002ckzsp","ark:/21198/zz002ckx5w","","","Page","lagen/image/21198-zz002ckzsp_2093137_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002ckzsp",""
