"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z11g2cbt","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmw1s_2094848_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2cbt",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmx5b","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmx5b_2094866_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmx5b",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmx6v","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmx6v_2094884_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmx6v",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmx7c","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmx7c_2094907_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmx7c",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmx8w","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmx8w_2094920_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmx8w",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmx9d","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmx9d_2094938_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmx9d",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxbx","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxbx_2094956_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxbx",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxdz","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxdz_2094974_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxdz",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxfg","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxfg_2094992_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxfg",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxg0","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxg0_2095010_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxg0",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxhh","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxhh_2095028_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxhh",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxj1","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxj1_2095047_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxj1",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxkj","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxkj_2095069_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxkj",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxm2","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxm2_2095083_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxm2",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxnk","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxnk_2095102_master.tif","14","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxnk",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxp3","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxp3_2095119_master.tif","15","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxp3",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxqm","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxqm_2095136_master.tif","16","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxqm",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxr4","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxr4_2095154_master.tif","17","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxr4",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxsn","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxsn_2095176_master.tif","18","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxsn",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmxt5","ark:/21198/zz002cmw1s","","","Page","lagen/image/21198-zz002cmxt5_2095194_master.tif","19","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmxt5",""
