"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1wq1vv4","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmw29_2095271_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1vv4",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz1r","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz1r_2095292_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz1r",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz28","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz28_2095308_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz28",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz3s","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz3s_2095328_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz3s",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz49","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz49_2095344_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz49",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz5t","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz5t_2095362_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz5t",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz6b","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz6b_2095380_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz6b",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz7v","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz7v_2095398_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz7v",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz8c","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz8c_2095417_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz8c",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmz9w","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmz9w_2095432_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmz9w",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzbd","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzbd_2095453_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzbd",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzcx","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzcx_2095470_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzcx",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzdf","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzdf_2095487_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzdf",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzfz","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzfz_2095506_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzfz",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzgg","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzgg_2095525_master.tif","14","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzgg",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzh0","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzh0_2095544_master.tif","15","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzh0",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzjh","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzjh_2095558_master.tif","16","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzjh",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzk1","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzk1_2095579_master.tif","17","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzk1",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzmj","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzmj_2095598_master.tif","18","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzmj",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzn2","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzn2_2095617_master.tif","19","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzn2",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzpk","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzpk_2095632_master.tif","20","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzpk",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzq3","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzq3_2095645_master.tif","21","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzq3",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzrm","ark:/21198/zz002cmw29","","","Page","lagen/image/21198-zz002cmzrm_2095657_master.tif","22","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzrm",""
