"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1rz1446","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cmw3t_2095274_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz1446",""
"La Gente de Aztlan Collection","ark:/21198/zz002cmzzq","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cmzzq_2095289_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cmzzq",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn005","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cn005_2095306_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn005",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn01p","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cn01p_2095324_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn01p",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn026","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cn026_2095343_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn026",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn03q","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cn03q_2095360_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn03q",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn047","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cn047_2095378_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn047",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn05r","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cn05r_2095396_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn05r",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn068","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cn068_2095416_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn068",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn07s","ark:/21198/zz002cmw3t","","","Page","lagen/image/21198-zz002cn07s_2095430_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn07s",""
