"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Rights.permissionNote","Name.repository","Name.copyrightHolder","Rights.permission","Language","Name.donor","viewingHint","Text direction","Visibility","IIIF Range","Title.uniform","Title","Date.normalized","Alt ID.local","Format.extent","Relation.isPartOf","Date.creation","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"La Gente de Aztlan Collection","ark:/21198/z1n60cgp","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cmw4b_2095270_master.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60cgp",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn0x4","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn0x4_2095288_master.tif","1","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn0x4",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn0zn","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn0zn_2095307_master.tif","2","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn0zn",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn10n","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn10n_2095325_master.tif","3","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn10n",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn115","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn115_2095342_master.tif","4","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn115",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn12p","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn12p_2095361_master.tif","5","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn12p",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn14q","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn14q_2095379_master.tif","6","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn14q",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn157","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn157_2095400_master.tif","7","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn157",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn16r","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn16r_2095414_master.tif","8","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn16r",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn178","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn178_2095431_master.tif","9","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn178",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn18s","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn18s_2095455_master.tif","10","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn18s",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn199","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn199_2095468_master.tif","11","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn199",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn1bt","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn1bt_2095486_master.tif","12","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn1bt",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn1cb","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn1cb_2095505_master.tif","13","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn1cb",""
"La Gente de Aztlan Collection","ark:/21198/zz002cn1dv","ark:/21198/zz002cmw4b","","","Page","lagen/image/21198-zz002cn1dv_2095523_master.tif","14","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cn1dv",""
