"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rp83","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rp83_737678_master.tif","1","","","","","","","text","","","","","","","","","","","","","","","Inside Front Cover","","","Inside cover includes a label with UCLA seal.","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rp83",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rp9m","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rp9m_737682_master.tif","2","","","","","","","text","","","","","","","","","","","","","","","Notes on contents of lectures - i","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rp9m",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpb4","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpb4_737685_master.tif","3","","","","","","","text","","","","","","","","","","","","","","","Notes on contents of lectures - ii","","","","","10h communicable","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpb4",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpd5","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpd5_737693_master.tif","4","","","","","","","text","manuscripts (document genre)","","","","","","","","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","","","","","","Statistics about the Diocese of County Kildare - iii","","","","","Diocess Kildare","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpd5",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpfp","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpfp_737701_master.tif","5","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Title Page - v","","","Title reads: ""Lectures on Chemistry by Doctor Black and Doctor Hope - Taken by Lovell Edgeworth in two volumes - Volume the First - Edinburgh 1796""","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpfp",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rphq","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rphq_737727_master.tif","6","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - vi","","","Lists contents of pages 1-116","","Table of Contents For Volume the First","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rphq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpj7","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpj7_737736_master.tif","7","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - vii","","","Lists contents of pages 132-303","","Chapter the First","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpj7",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpm8","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpm8_737750_master.tif","8","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - viii","","","Lists contents of pages 304-365","","Chapter the Fourth","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpm8",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpns","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpns_737765_master.tif","9","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - viv","","","Lists contents of pages 375-429","","Part the Fourth","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpns",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpp9","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpp9_737771_master.tif","10","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - x","","","Lists contents of pages 413-494","","Chapter the Second","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpp9",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpqt","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpqt_737788_master.tif","11","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - xii","","","Lists contents of pages 301-560","","Section the First - Of Salts","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpqt",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rprb","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rprb_737794_master.tif","12","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - xiii","","","Lists contents of pages 336-672","","Chapter the Third","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rprb",""
