"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.genre","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Subject","Name.creator","Name.fashionDesigner","Name.repository","Name.manufacturer","Name.subject","Name.retailer","Name.publisher","Type.collection","Type.manuscript","Rights.copyrightStatus","Name.photographer","Rights.servicesContact","Language","Rights.permission","AltIdentifier.local","Source","Date.created","Title","AltTitle.other","Format.extent","Date.normalized","Description.note","Opac url","Relation.isVersionOf","Description","Description.abstract","Relation.isPartOf","Alt Identifier","Bucketeer State","IIIF Access URL"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz00286rj0","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz00286rj0_1907888_master.tif","1","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_001","","1976","Page 1","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00286rj0"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz0028700j","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz0028700j_1907908_master.tif","2","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_002","","1976","Page 2","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028700j"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz002898jk","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz002898jk_1908374_master.tif","3","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_003a","","1976","Page 3a","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002898jk"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz002898k3","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz002898k3_1908377_master.tif","4","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_003b","","1976","Page 3b","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002898k3"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz002898mm","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz002898mm_1908380_master.tif","5","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_004","","1976","Page 4","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002898mm"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz002898n4","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz002898n4_1908383_master.tif","6","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_005","","1976","Page 5","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002898n4"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz002898pn","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz002898pn_1908386_master.tif","7","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_006","","1976","Page 6","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002898pn"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz002898q5","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz002898q5_1908389_master.tif","8","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_007","","1976","Page 7","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002898q5"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz002898rp","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz002898rp_1908392_master.tif","9","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_008","","1976","Page 8","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002898rp"
"Cashin (Bonnie) Collection of Fashion, Theater and Film Costume Design","ark:/21198/zz002898s6","ark:/21198/zz0009k189","2","Completed","Page","cashin/masters/21198-zz002898s6_1908395_master.tif","10","","","","still image","","","","","","","Cashin, Bonnie","University of California, Los Angeles. $b Library Special Collections","","","","","","","copyrighted","","","","Y","uclamss_440_b126_4_009","","1976","Page 9","","","1976","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002898s6"
