"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Alt ID.other","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Name.subject","Name.creator","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Name.photographer","Name.publisher","Coverage.geographic","Subject","Rights.servicesContact","Language","Rights.publicationNote","Name.author","Name.repository","Description.note","Title","Date.publication","Date.normalized","Description.inscription","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc9tj","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000sc9tj-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc9tj",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc9v2","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000sc9v2-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc9v2",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc9wk","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000sc9wk-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc9wk",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc9x3","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000sc9x3-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc9x3",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc9zm","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000sc9zm-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc9zm",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000scb0m","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000scb0m-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000scb0m",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000scb35","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000scb35-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000scb35",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000scb56","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000scb56-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000scb56",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000scb6q","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000scb6q-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000scb6q",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000scb98","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000scb98-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000scb98",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000scbbs","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000scbbs-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000scbbs",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000scbdt","ark:/21198/zz000sc9s1","2","Completed","","Page","connexxus/images/masters/21198-zz000scbdt-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000scbdt",""
