"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Alt ID.other","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Name.subject","Name.creator","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Name.photographer","Name.publisher","Coverage.geographic","Subject","Rights.servicesContact","Language","Rights.publicationNote","Name.author","Name.repository","Description.note","Title","Date.publication","Date.normalized","Description.inscription","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdc75","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdc75-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdc75",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdc8p","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdc8p-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdc8p",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdc96","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdc96-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdc96",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdcbq","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdcbq-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdcbq",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdcc7","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdcc7-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdcc7",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdcdr","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdcdr-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdcdr",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdcf8","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdcf8-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdcf8",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdcgs","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdcgs-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdcgs",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdch9","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdch9-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdch9",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sdcjt","ark:/21198/zz000sd9f9","2","Completed","","Page","connexxus/images/masters/21198-zz000sdcjt-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdcjt",""
