"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Alt ID.other","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Name.subject","Name.creator","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Name.photographer","Name.publisher","Coverage.geographic","Subject","Rights.servicesContact","Language","Rights.publicationNote","Name.author","Name.repository","Description.note","Title","Date.publication","Date.normalized","Description.inscription","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftf0","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftf0-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftf0",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftgh","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftgh-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftgh",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sfth1","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sfth1-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sfth1",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftjj","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftjj-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftjj",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftk2","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftk2-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftk2",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftmk","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftmk-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftmk",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftn3","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftn3-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftn3",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftpm","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftpm-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftpm",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftq4","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftq4-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftq4",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftrn","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftrn-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftrn",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sfts5","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sfts5-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sfts5",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sfttp","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sfttp-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sfttp",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftv6","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftv6-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftv6",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftwq","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftwq-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftwq",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftx7","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftx7-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftx7",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sftzr","ark:/21198/zz000sftdg","2","Completed","","Page","connexxus/images/masters/21198-zz000sftzr-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sftzr",""
