"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Alt ID.other","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Name.subject","Name.creator","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Name.photographer","Name.publisher","Coverage.geographic","Subject","Rights.servicesContact","Language","Rights.publicationNote","Name.author","Name.repository","Description.note","Title","Date.publication","Date.normalized","Description.inscription","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfhm","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfhm-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfhm",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfj4","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfj4-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfj4",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfkn","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfkn-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfkn",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfm5","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfm5-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfm5",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfnp","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfnp-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfnp",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfp6","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfp6-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfp6",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfqq","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfqq-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfqq",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfr7","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfr7-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfr7",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shfsr","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shfsr-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shfsr",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000shft8","ark:/21198/zz000shfg3","2","Completed","","Page","connexxus/images/masters/21198-zz000shft8-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000shft8",""
