"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmszh","ark:/21198/zz001bmswg","2","Completed","Page","cruikshank/images/masters/21198-zz001bmszh_746360_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmszh"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmt0h","ark:/21198/zz001bmswg","2","Completed","Page","cruikshank/images/masters/21198-zz001bmt0h_746366_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmt0h"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmt2j","ark:/21198/zz001bmt11","2","Completed","Page","cruikshank/images/masters/21198-zz001bmt2j_746372_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmt2j"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmtqc","ark:/21198/zz001bmt32","2","Completed","Page","cruikshank/images/masters/21198-zz001bmtqc_746381_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmtqc"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmtsd","ark:/21198/zz001bmtrw","2","Completed","Page","","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","missing",
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmtvf","ark:/21198/zz001bmttx","2","Completed","Page","cruikshank/images/masters/21198-zz001bmtvf_746393_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmtvf"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmtxg","ark:/21198/zz001bmtwz","2","Completed","Page","cruikshank/images/masters/21198-zz001bmtxg_746399_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmtxg"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmv1h","ark:/21198/zz001bmtz0","2","Completed","Page","cruikshank/images/masters/21198-zz001bmv1h_746403_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmv1h"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmv21","ark:/21198/zz001bmtz0","2","Completed","Page","cruikshank/images/masters/21198-zz001bmv21_746408_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmv21"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmv42","ark:/21198/zz001bmv3j","2","Completed","Page","cruikshank/images/masters/21198-zz001bmv42_746414_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmv42"
