Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Name.subject,Name.donor,Name.copyrightHolder,Name.repository,Subject,Rights.copyrightStatus,Name.publisher,Name.designer,Name.creator,Name.contributor,Format.extent,AltIdentifier.collection,AltIdentifier.local,Relation.relatedTo,Date.creation,Title,Format.medium,Format.dimensions,Date.normalized,Relation.isPartOf,Description.note,Format.material,Description.physicalDescription,Bucketeer State,IIIF Access URL
Roybal (Edward R.) Photograph Collection,ark:/21198/zz00141d56,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz00141d56-1-master.tif|~|csrc/masters/21198-zz00141d56_506556_master.tif,,,,photographs,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1957_24A_24B.tif,Edward R. Roybal Papers,probably 1957,CSRC_ROYBAL-HAYNES_1957_24A_24B.tif,,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz00141gxj,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz00141gxj-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1957_19.tif,Edward R. Roybal Papers,1957,CSRC_ROYBAL-HAYNES_1957_19.tif,,,,,Visit to Mexico,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0014s9kt,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz0014s9kt-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_14.tif,Edward R. Roybal Papers,1962,CSRC_ROYBAL-HAYNES_1962_14.tif,,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0014s9pc,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz0014s9pc-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_27.tif,Edward R. Roybal Papers,1962,CSRC_ROYBAL-HAYNES_1962_27.tif,,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0014s9vz,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz0014s9vz-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_26.tif,Edward R. Roybal Papers,1962,CSRC_ROYBAL-HAYNES_1962_26.tif,,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0014s9wg,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz0014s9wg-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_17.tif,Edward R. Roybal Papers,1962,CSRC_ROYBAL-HAYNES_1962_17.tif,,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0014sbgr,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz0014sbgr-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_22.tif,Edward R. Roybal Papers,1962,CSRC_ROYBAL-HAYNES_1962_22.tif,,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0014sbh8,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz0014sbh8-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_24.tif,Edward R. Roybal Papers,1962,CSRC_ROYBAL-HAYNES_1962_24.tif,,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0014sbjs,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz0014sbjs-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_21.tif,Edward R. Roybal Papers,1962,CSRC_ROYBAL-HAYNES_1962_21.tif,,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0014sbk9,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz0014sbk9-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_25.tif,Edward R. Roybal Papers,1962,CSRC_ROYBAL-HAYNES_1962_25.tif,,,,,,,,failed,
