Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,Name.illuminator,Name.creator,Title,AltTitle.descriptive,Description.note,Date.creation,Description.abstract,Date.normalized,Description.adminnote,Description.contents,Description.condition,Description.illustrations,Description.colophon,Description.history,Description.binding,Format.medium,Format.extent,Alt ID.local,Format.dimensions,AltTitle.uniform,Coverage.geographic,Publisher.placeOfOrigin,Description
Armenian Manuscripts,ark:/21198/zz0009gx2d,,2,Completed,Collection,,,Armenian Manuscripts,,,14th - 19th,"Collection of 88 Armenian manuscripts from 14th to 19th centuries|~|Armenian manuscripts gifted to the UCLA Library in 1968 by Dr. Caro Owen Minasian of Isfahan, Iran.  The collection includes manuscripts of ecclesiastical character such as gospels, psalters, menologia, and ritual books, as well as theological and philosophical works, medical treatises, and anthologies of poetry.",1300-1899,,,,,,"Medieval Armenian Manuscripts at the University of California, Los Angeles. Avedia K. Sanjian. 1999.",,,,Collection 2089,,Collection of Armenian Manuscripts 1300-1899,,,
Armenian Manuscripts,ark:/21198/zz0009gx6g,ark:/21198/zz0009gx2d,2,Completed,Work,T'oros of Taron  (Gladzor Gospels)|~|Second Painter|~|Third Painter|~|First Painter|~|Fourth Painter,,Manuscript No. 1: Gladzor Gospels,Four Gospels,"The manuscript is the work of two scribes (except for the colophons, inscriptions and prefatory material before the Gospel of Matthew, which were done later). The principal scribe wrote the entire text of the four gospels in bolorgir (cursive) script; he also wrote the prefaces and indexes that stand before each gospel. The other scribe wrote the numbers within the Canon Tables, as well as the text of the Eusebian Introduction and the Eusebian numbers throughout the manuscript. (Sanjian, p. 46)",1300-1307,,1300/1307,"(see)Sanjian, Avedis K. Medieval Armenian Manuscripts at the University of California, Los Angeles. Berkeley : University of California Press, 1999.|~|(See) Mathews, Thomas F. and Sanjian, Avedis K. Armenian Gospel Iconography : the tradition of the Glajor Gospel. Washington, D.C. : Dumbarton Oaks Research Library and Collection, 1991.",,,"The illustrations of the codex consist of the Eusebian Prologue, Ten Canon Tables, the portraits of the four evangelists and the incipits to their gospels, 55 miniatures depicting scenes from the life of Christ, and numerous marginal ornaments and decorative initials. The painting of the manuscript was done in two distinct workshops and in two stages. The figurative miniatures are the work of five different artists, only one of whom [T'oros of Taron] is known by name. The First Painter and Second Painter worked at the scriptorium of Ełegis or Noravank’. The Third Painter, Fourth Painter and T'oros of Taron completed the illustrations at the monastery at Gladzor.The First Painter did the canon tables and most of the decorated initials and marginal ornaments.The Second Painter painted the portraits of the four evangelists and the incipit pages of their gospels. The Third Painter illuminated seven subjects between pages 92 and 122.The Fourth Painter executed fourteen subjects between pages 124 and 211. The Fifth Painter, T'oros of Taron, is responsible for twenty-three narrative scenes.  (Sanjian, p. 53, 57-58)",,"Executed for an important ecclesiastical figure in the early fourteenth century, the Gladzor Gospels passed in 1377 into the private possession of the Ōrbēlian princely family, who, after its capture and redemption from the Mongols, deposited it in the monastery of Gełard in 1393-1404. Here it seems to have remained until the beginning of the seventeenth century, when it accompanied the Armenian exodus to New Julfa. At that time it was probably placed in the church of Mec Xōĵenc’ or St. George, where it remained until that church gave it to a priest named Yōvakim Abraham in 1824. Thereafter it seems to have remained in the private possession of individual priests, changing hands once again in 1901, before finally being acquired by Dr. Caro Owen Minasian. There is no precise information as to when and from whom Dr. Caro O. Minasian acquired the book. (Sanjian, p. 52)","Persian lacquered covers of the Qajar period.|~|The Index to the Gospel of Matthew is incomplete; only 19 of the 69 entries have been written in. Several folios are missing; the second gathering lacks its initial leaf, as well as the miniature of the Baptism; the ninth gathering, which consisted of only two bifolia, lacks the conjugate leaf at the start, which most likely had the original dedicatory colophon of the manuscript. In the colophon of 1393-1404 a leaf is missing between pages 578 and 579. Also lacking are the traditional endleaves, which in Armenia were reused from older manuscripts as a way of sanctifying the new one; possibly this was a casualty of the nineteenth-century rebinding. (Sanjian, p. 49)",Vellum,1 volume (582 pages),Armenian MS. 1|~|170/466,23.5 x 17.6 cm (average),,,,
Armenian Manuscripts,ark:/21198/zz0009h15v,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 1],"Inscription of the owner, Baroness Vaxax.",,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h16c,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 2],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h17w,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 3],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h18d,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 4],"Canon Table, Eusebian Prologue, with portrait of Eusebius.",Eusebius' Letter to Carpianos.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h19x,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 5],"Canon Table, Eusebian Prologue, with portrait of Carpianos.",Eusebius' Letter to Carpianos.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1bf,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 6],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1cz,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 7],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1dg,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 8],Canon Table One.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1f0,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 9],Canon Table Two.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1gh,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 10],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1h1,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 11],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1jj,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 12],Canon Tables Three and Four.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1k2,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 13],Canon Table Five.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1mk,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 14],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1n3,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 15],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1pm,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 16],Canon Tables Six and Seven.,,,,,,,,,,,,,,,,,,,
