"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 56: 0001","Armenian Manuscripts","ark:/21198/zz0028xb8g","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0001.tif","1","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xb8g",""
"Manuscript No. 56: 0002","Armenian Manuscripts","ark:/21198/zz0028xb90","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0002.tif","2","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xb90",""
"Manuscript No. 56: 0003","Armenian Manuscripts","ark:/21198/zz0028xbbh","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0003.tif","3","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbbh",""
"Manuscript No. 56: 0004","Armenian Manuscripts","ark:/21198/zz0028xbc1","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0004.tif","4","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbc1",""
"Manuscript No. 56: 0005","Armenian Manuscripts","ark:/21198/zz0028xbdj","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0005.tif","5","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbdj",""
"Manuscript No. 56: 0006","Armenian Manuscripts","ark:/21198/zz0028xbf2","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0006.tif","6","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbf2",""
"Manuscript No. 56: 0007","Armenian Manuscripts","ark:/21198/zz0028xbgk","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0007.tif","7","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbgk",""
"Manuscript No. 56: 0008","Armenian Manuscripts","ark:/21198/zz0028xbh3","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0008.tif","8","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbh3",""
"Manuscript No. 56: 0009","Armenian Manuscripts","ark:/21198/zz0028xbjm","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0009.tif","9","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbjm",""
"Manuscript No. 56: 0010","Armenian Manuscripts","ark:/21198/zz0028xbk4","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0010.tif","10","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbk4",""
"Manuscript No. 56: 0011","Armenian Manuscripts","ark:/21198/zz0028xbmn","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0011.tif","11","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbmn",""
"Manuscript No. 56: 0012","Armenian Manuscripts","ark:/21198/zz0028xbn5","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0012.tif","12","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbn5",""
"Manuscript No. 56: 0013","Armenian Manuscripts","ark:/21198/zz0028xbpp","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0013.tif","13","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbpp",""
"Manuscript No. 56: 0014","Armenian Manuscripts","ark:/21198/zz0028xbq6","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0014.tif","14","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbq6",""
"Manuscript No. 56: 0015","Armenian Manuscripts","ark:/21198/zz0028xbrq","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0015.tif","15","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbrq",""
"Manuscript No. 56: 0016","Armenian Manuscripts","ark:/21198/zz0028xbs7","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0016.tif","16","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbs7",""
"Manuscript No. 56: 0017","Armenian Manuscripts","ark:/21198/zz0028xbtr","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0017.tif","17","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbtr",""
"Manuscript No. 56: 0018","Armenian Manuscripts","ark:/21198/zz0028xbv8","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0018.tif","18","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbv8",""
"Manuscript No. 56: 0019","Armenian Manuscripts","ark:/21198/zz0028xbws","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0019.tif","19","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbws",""
"Manuscript No. 56: 0020","Armenian Manuscripts","ark:/21198/zz0028xbx9","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0020.tif","20","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbx9",""
"Manuscript No. 56: 0021","Armenian Manuscripts","ark:/21198/zz0028xbzt","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0021.tif","21","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xbzt",""
"Manuscript No. 56: 0022","Armenian Manuscripts","ark:/21198/zz0028xc0t","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0022.tif","22","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc0t",""
"Manuscript No. 56: 0023","Armenian Manuscripts","ark:/21198/zz0028xc1b","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0023.tif","23","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc1b",""
"Manuscript No. 56: 0024","Armenian Manuscripts","ark:/21198/zz0028xc2v","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0024.tif","24","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc2v",""
"Manuscript No. 56: 0025","Armenian Manuscripts","ark:/21198/zz0028xc3c","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0025.tif","25","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc3c",""
"Manuscript No. 56: 0026","Armenian Manuscripts","ark:/21198/zz0028xc4w","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0026.tif","26","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc4w",""
"Manuscript No. 56: 0027","Armenian Manuscripts","ark:/21198/zz0028xc5d","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0027.tif","27","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc5d",""
"Manuscript No. 56: 0028","Armenian Manuscripts","ark:/21198/zz0028xc6x","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0028.tif","28","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc6x",""
"Manuscript No. 56: 0029","Armenian Manuscripts","ark:/21198/zz0028xc7f","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0029.tif","29","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc7f",""
"Manuscript No. 56: 0030","Armenian Manuscripts","ark:/21198/zz0028xc8z","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0030.tif","30","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc8z",""
"Manuscript No. 56: 0031","Armenian Manuscripts","ark:/21198/zz0028xc9g","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0031.tif","31","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc9g",""
"Manuscript No. 56: 0032","Armenian Manuscripts","ark:/21198/zz0028xcb0","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0032.tif","32","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcb0",""
"Manuscript No. 56: 0033","Armenian Manuscripts","ark:/21198/zz0028xcch","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0033.tif","33","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcch",""
"Manuscript No. 56: 0034","Armenian Manuscripts","ark:/21198/zz0028xcd1","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0034.tif","34","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcd1",""
