"Item ARK","Parent ARK","Object Type","File Name","Item Sequence","IIIF Range","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/zz002b7w5h","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7w5h_1993497_master.tif","1","","bookseller's description (unfolded) on front paste-down","MS_1951_012__0001.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7w5h",""
"ark:/21198/zz002b7w61","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7w61_1993500_master.tif","2","","bookseller's description (folded) on front paste-down","MS_1951_012__0002.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7w61",""
"ark:/21198/zz002b7w7j","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7w7j_1993503_master.tif","3","","front free endpaper (recto) with inscriptions","MS_1951_012__0003.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7w7j",""
"ark:/21198/zz002b7w82","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7w82_1993520_master.tif","4","","front free endpaper (verso)","MS_1951_012__0004.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7w82",""
"ark:/21198/zz002b7w9k","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7w9k_1993640_master.tif","5","","blank page (recto)","MS_1951_012__0005.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7w9k",""
"ark:/21198/zz002b7wb3","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7wb3_1993643_master.tif","6","","blank page (verso)","MS_1951_012__0006.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7wb3",""
"ark:/21198/zz002b7wcm","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7wcm_1993658_master.tif","7","","preliminary page with inscription and dates","MS_1951_012__0007.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7wcm",""
"ark:/21198/zz002b7wd4","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7wd4_1993661_master.tif","8","","page 1","MS_1951_012__0008.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7wd4",""
"ark:/21198/zz002b7wfn","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7wfn_1993664_master.tif","9","","page 2","MS_1951_012__0009.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7wfn",""
"ark:/21198/zz002b7wg5","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b7wg5_1993668_master.tif","10","","page 3","MS_1951_012__0010.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b7wg5",""
