Project Name,Parent ARK,Item ARK,Object Type,viewingHint,Text direction,File Name,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001nw0gg,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001nw0gg_1451913_master.tif,Ms. 1_1,1,Page 1,text,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nw0gg
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5cpk,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5cpk_766770_master.tif,Ms. 1_2,2,Page 2,text,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5cpk
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5cq3,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5cq3_766776_master.tif,Ms. 1_3,3,Page 3,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5cq3
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5crm,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5crm_766780_master.tif,Ms. 1_4,4,Page 4,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5crm
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5cs4,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5cs4_766786_master.tif,Ms. 1_5,5,Page 5,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5cs4
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5ctn,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5ctn_766791_master.tif,Ms. 1_6,6,Page 6,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethipia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Name of Patriarch of Alexandria Peter VII (1810-1852) and Metropolitan Matewos of Ethiopia (1842-1926)|~|Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5ctn
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5cv5,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5cv5_766795_master.tif,Ms. 1_7,7,Page 7,text,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5cv5
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5cwp,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5cwp_766800_master.tif,Ms. 1_8,8,Page 8,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5cwp
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5cx6,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5cx6_766804_master.tif,Ms. 1_9,9,Page 9,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5cx6
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5czq,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5czq_766809_master.tif,Ms. 1_10,10,Page 10,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5czq
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d0q,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d0q_766812_master.tif,Ms. 1_11,11,Page 11,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d0q
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d17,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d17_766815_master.tif,Ms. 1_12,12,Page 12,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d17
