"Project Name","Parent ARK","Item ARK","Object Type","File Name","viewingHint","Text direction","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Relation.rectoVerso","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kcxz","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kcxz-1-master.tif","","","Ms. 31_blank1","1","Blank Page","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcxz",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kczg","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kczg-1-master.tif","","","Ms. 31_blank2","2","Blank Page","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kczg",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kd0g","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kd0g-1-master.tif","","","Ms. 31_blank3","3","Blank Page","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kd0g",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kd10","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kd10-1-master.tif","","","Ms. 31_blank4","4","Blank Page","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kd10",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kd2h","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kd2h-1-master.tif","","","Ms. 31_1","5","Page 1","text","","pd","","amh|~|gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","Introduction on Faith and Work ;  ""'In the name of the Father... I believe and stand firmly by the saying that the Father is the one who begets, I believe and stand firmly by the saying that the Son is the one who is begotten, I believe and stand firmly by the saying that the Holy Spirit is the one who proceeds [from the Father]. Even though I have spelled out three names  for  persons of the trinity, I believe in three persons, one God,' says the Christian person.""","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kd2h",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kd31","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kd31-1-master.tif","","","Ms. 31_2","6","Page 2","text","","pd","","amh|~|gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","Introduction on Faith and Work ;  ""'In the name of the Father... I believe and stand firmly by the saying that the Father is the one who begets, I believe and stand firmly by the saying that the Son is the one who is begotten, I believe and stand firmly by the saying that the Holy Spirit is the one who proceeds [from the Father]. Even though I have spelled out three names  for  persons of the trinity, I believe in three persons, one God,' says the Christian person.""","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kd31",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kd4j","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kd4j-1-master.tif","","","Ms. 31_3","7","Page 3","text","","pd","","amh|~|gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","Introduction on Faith and Work ;  ""'In the name of the Father... I believe and stand firmly by the saying that the Father is the one who begets, I believe and stand firmly by the saying that the Son is the one who is begotten, I believe and stand firmly by the saying that the Holy Spirit is the one who proceeds [from the Father]. Even though I have spelled out three names  for  persons of the trinity, I believe in three persons, one God,' says the Christian person.""","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kd4j",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kd52","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kd52-1-master.tif","","","Ms. 31_4","8","Page 4","text","","pd","","amh","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","Introduction on Faith and Work ;  ""'In the name of the Father... I believe and stand firmly by the saying that the Father is the one who begets, I believe and stand firmly by the saying that the Son is the one who is begotten, I believe and stand firmly by the saying that the Holy Spirit is the one who proceeds [from the Father]. Even though I have spelled out three names  for  persons of the trinity, I believe in three persons, one God,' says the Christian person.""","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kd52",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kd6k","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kd6k-1-master.tif","","","Ms. 31_5","9","Page 5","text","","pd","","amh|~|gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","Introduction on Faith and Work ;  ""'In the name of the Father... I believe and stand firmly by the saying that the Father is the one who begets, I believe and stand firmly by the saying that the Son is the one who is begotten, I believe and stand firmly by the saying that the Holy Spirit is the one who proceeds [from the Father]. Even though I have spelled out three names  for  persons of the trinity, I believe in three persons, one God,' says the Christian person.""","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kd6k",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kgbm","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kgbm-1-master.tif","","","Ms. 31_6","10","Page 6","text","","pd","","amh|~|gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","Introduction on Faith and Work ;  ""'In the name of the Father... I believe and stand firmly by the saying that the Father is the one who begets, I believe and stand firmly by the saying that the Son is the one who is begotten, I believe and stand firmly by the saying that the Holy Spirit is the one who proceeds [from the Father]. Even though I have spelled out three names  for  persons of the trinity, I believe in three persons, one God,' says the Christian person.""","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kgbm",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kj8j","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kj8j-1-master.tif","","","Ms. 31_7","11","Page 7","text","","pd","","amh|~|gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","Introduction on Faith and Work ;  ""'In the name of the Father... I believe and stand firmly by the saying that the Father is the one who begets, I believe and stand firmly by the saying that the Son is the one who is begotten, I believe and stand firmly by the saying that the Holy Spirit is the one who proceeds [from the Father]. Even though I have spelled out three names  for  persons of the trinity, I believe in three persons, one God,' says the Christian person.""","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kj8j",""
"Ethiopic Manuscripts","ark:/21198/zz0009k8z1","ark:/21198/zz0009kj92","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kj92-1-master.tif","","","Ms. 31_8","12","Page 8","text","","pd","","amh|~|gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","194 mm x 123 mm","Vellum","","Introduction on Faith and Work ;  ""'In the name of the Father... I believe and stand firmly by the saying that the Father is the one who begets, I believe and stand firmly by the saying that the Son is the one who is begotten, I believe and stand firmly by the saying that the Holy Spirit is the one who proceeds [from the Father]. Even though I have spelled out three names  for  persons of the trinity, I believe in three persons, one God,' says the Christian person.""","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kj92",""
