Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnq4n,Page,ethiopian/masters/21198-zz001hnq4n_1304739_master.tif,Ms. 34_1,,,1,Page 1 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnq4n,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnq55,Page,ethiopian/masters/21198-zz001hnq55_1304742_master.tif,Ms. 34_2,,,2,Page 2 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnq55,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnq6p,Page,ethiopian/masters/21198-zz001hnq6p_1304745_master.tif,Ms. 34_3,,,3,Page 3 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnq6p,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnq76,Page,ethiopian/masters/21198-zz001hnq76_1304748_master.tif,Ms. 34_4,,,4,Page 4 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnq76,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnq8q,Page,ethiopian/masters/21198-zz001hnq8q_1304751_master.tif,Ms. 34_5,,,5,Page 5 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnq8q,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnq97,Page,ethiopian/masters/21198-zz001hnq97_1304754_master.tif,Ms. 34_6,,,6,Page 6 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnq97,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqbr,Page,ethiopian/masters/21198-zz001hnqbr_1304757_master.tif,Ms. 34_7,,,7,Page 7 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqbr,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqc8,Page,ethiopian/masters/21198-zz001hnqc8_1304760_master.tif,Ms. 34_8,,,8,Page 8 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqc8,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqds,Page,ethiopian/masters/21198-zz001hnqds_1304773_master.tif,Ms. 34_9,,,9,Page 9 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqds,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqf9,Page,ethiopian/masters/21198-zz001hnqf9_1304778_master.tif,Ms. 34_10,,,10,Page 10,,,pd,,gez,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Pen trial.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqf9,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqgt,Page,ethiopian/masters/21198-zz001hnqgt_1304781_master.tif,Ms. 34_11,,,11,Page 11,,,pd,,gez,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Pen trial.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqgt,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqhb,Page,ethiopian/masters/21198-zz001hnqhb_1304784_master.tif,Ms. 34_12,,,12,Page 12 [Blank],,,pd,,,,,,,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Blank page.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqhb,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqjv,Page,ethiopian/masters/21198-zz001hnqjv_1304787_master.tif,Ms. 34_13,,,13,Page 13,,,pd,,gez,,ጸሎተ ኪዳን,Office Prayer,Images of the Saints,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Office Prayer ጸሎተ ኪዳን ; በበዓላት ወበሰናብት ይበል ካህን ተሣሃልከ እግዚኦ ምድረከ በ፮ ሃሌሉያ ይእቲ ማርያም እምነ ወእሙ ለእግዚእ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqjv,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqkc,Page,ethiopian/masters/21198-zz001hnqkc_1304790_master.tif,Ms. 34_14,,,14,Page 14,,,pd,,gez,,ጸሎተ ኪዳን,Office Prayer,Images of the Saints,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Office Prayer ጸሎተ ኪዳን ; በበዓላት ወበሰናብት ይበል ካህን ተሣሃልከ እግዚኦ ምድረከ በ፮ ሃሌሉያ ይእቲ ማርያም እምነ ወእሙ ለእግዚእ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqkc,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqmw,Page,ethiopian/masters/21198-zz001hnqmw_1304793_master.tif,Ms. 34_15,,,15,Page 15,,,pd,,gez,,ጸሎተ ኪዳን,Office Prayer,Images of the Saints,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Office Prayer ጸሎተ ኪዳን ; በበዓላት ወበሰናብት ይበል ካህን ተሣሃልከ እግዚኦ ምድረከ በ፮ ሃሌሉያ ይእቲ ማርያም እምነ ወእሙ ለእግዚእ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqmw,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqnd,Page,ethiopian/masters/21198-zz001hnqnd_1304796_master.tif,Ms. 34_16,,,16,Page 16,,,pd,,gez,,ጸሎተ ኪዳን,Office Prayer,Images of the Saints,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Office Prayer ጸሎተ ኪዳን ; በበዓላት ወበሰናብት ይበል ካህን ተሣሃልከ እግዚኦ ምድረከ በ፮ ሃሌሉያ ይእቲ ማርያም እምነ ወእሙ ለእግዚእ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqnd,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqpx,Page,ethiopian/masters/21198-zz001hnqpx_1304803_master.tif,Ms. 34_17,,,17,Page 17,,,pd,,gez,,ጸሎተ ኪዳን,Office Prayer,Images of the Saints,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Office Prayer ጸሎተ ኪዳን ; በበዓላት ወበሰናብት ይበል ካህን ተሣሃልከ እግዚኦ ምድረከ በ፮ ሃሌሉያ ይእቲ ማርያም እምነ ወእሙ ለእግዚእ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqpx,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqqf,Page,ethiopian/masters/21198-zz001hnqqf_1304808_master.tif,Ms. 34_18,,,18,Page 18,,,pd,,gez,,ጸሎተ ኪዳን,Office Prayer,Images of the Saints,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Office Prayer ጸሎተ ኪዳን ; በበዓላት ወበሰናብት ይበል ካህን ተሣሃልከ እግዚኦ ምድረከ በ፮ ሃሌሉያ ይእቲ ማርያም እምነ ወእሙ ለእግዚእ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqqf,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqrz,Page,ethiopian/masters/21198-zz001hnqrz_1304811_master.tif,Ms. 34_19,,,19,Page 19,,,pd,,gez,,ጸሎተ ኪዳን,Office Prayer,Images of the Saints,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Office Prayer ጸሎተ ኪዳን ; በበዓላት ወበሰናብት ይበል ካህን ተሣሃልከ እግዚኦ ምድረከ በ፮ ሃሌሉያ ይእቲ ማርያም እምነ ወእሙ ለእግዚእ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqrz,
Ethiopic Manuscripts,ark:/21198/zz001hmck3,ark:/21198/zz001hnqsg,Page,ethiopian/masters/21198-zz001hnqsg_1304814_master.tif,Ms. 34_20,,,20,Page 20,,,pd,,gez,,ጸሎተ ኪዳን,Office Prayer,Images of the Saints,Ethiopia,1874-1926,1874/1926,1 Page,155 mm x 115 mm,Vellum,,Office Prayer ጸሎተ ኪዳን ; በበዓላት ወበሰናብት ይበል ካህን ተሣሃልከ እግዚኦ ምድረከ በ፮ ሃሌሉያ ይእቲ ማርያም እምነ ወእሙ ለእግዚእ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnqsg,
