Item ARK,Parent ARK,Item Sequence,Title,Object Type,Visibility,File Name,Thumbnail,Type.genre,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Date.normalized,Format.dimensions,Alt ID.local
ark:/21198/z1wq24z5,ark:/21198/z1sx8fcp,1,Page 1,Page,,eric_gill/image/CEG1583.tif,,letterforms,,,,"Johnston, Edward, 1872-1944|~|Gill, Eric, 1882-1940",,Offset and lithograph on paper,"For schools & classes & for the use of craftsmen by Edward Johnston with 5 plates by A.E.R. Gill (Portfolio No.2, “School copies & Examples). Second impression, revisited.",1911,1911,"variable, in a folder measuring 10 x 12”",CEG1583
ark:/21198/z1rz1d6d,ark:/21198/z1sx8fcp,2,Page 2,Page,,eric_gill/image/CEG1583_2.tif,,letterforms,,,,"Johnston, Edward, 1872-1944|~|Gill, Eric, 1882-1941",,Offset and lithograph on paper,"For schools & classes & for the use of craftsmen by Edward Johnston with 5 plates by A.E.R. Gill (Portfolio No.2, “School copies & Examples). Second impression, revisited.",1912,1912,"variable, in a folder measuring 10 x 12”",CEG1583
ark:/21198/z1n60njw,ark:/21198/z1p57pn8,1,Page 1,Page,,eric_gill/image/CEG2299.tif,,letters (correspondence),,,,"Sanders-Clark, H.S.",,Ink on paper,"A.L.S. from H.S. Sanders-Clark to Romney Green relative regarding a carving of the coat of arms, crest and motto of Haberdasher’s Hall to be carved on the back of Master’s chair. This item is boxed with CEG530-531.",1931 December 31,1931-12-11,5 x 8”,CEG2299
ark:/21198/z1hd9wv2,ark:/21198/z1p57pn8,2,Page 2,Page,,eric_gill/image/CEG2299_2.tif,,letters (correspondence),,,,"Sanders-Clark, H.S.",,Ink on paper,"A.L.S. from H.S. Sanders-Clark to Romney Green relative regarding a carving of the coat of arms, crest and motto of Haberdasher’s Hall to be carved on the back of Master’s chair. This item is boxed with CEG530-531.",1932 December 31,1931-12-12,6 x 8”,CEG2299
ark:/21198/z1cn953p,ark:/21198/z1jd6xz0,1,Page 1,Page,,eric_gill/image/CEG431.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on graph paper,"Collection of 6 pencil sketches, charts and finished drawings for Bisham Cross (Bisham, Berks). Includes two versions of mounted finished drawings signed “EG 29.1.1919”. 2 undated rough sketches, 1 plan (1 ½” scale) signd “EG 1.3.19”, and 1 “Bisham Cross (as carved)” chart signed “E.G. 15.5.19” See Evan Gill Inscriptional work No. 337.",about 1919,1919,8 x 9 3/4”,CEG431
ark:/21198/z17w8dbh,ark:/21198/z1jd6xz0,2,Page 2,Page,,eric_gill/image/CEG432.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Collection of 6 pencil sketches, charts and finished drawings for Bisham Cross (Bisham, Berks). Includes two versions of mounted finished drawings signed “EG 29.1.1919”. 2 undated rough sketches, 1 plan (1 ½” scale) signd “EG 1.3.19”, and 1 “Bisham Cross (as carved)” chart signed “E.G. 15.5.19” See Evan Gill Inscriptional work No. 337.",1919 May 15,1919-05-15,7 ¼ x 10 ½”,CEG432
ark:/21198/z1476c28,ark:/21198/z1jd6xz0,3,Page 3,Page,,eric_gill/image/CEG433.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Collection of 6 pencil sketches, charts and finished drawings for Bisham Cross (Bisham, Berks). Includes two versions of mounted finished drawings signed “EG 29.1.1919”. 2 undated rough sketches, 1 plan (1 ½” scale) signd “EG 1.3.19”, and 1 “Bisham Cross (as carved)” chart signed “E.G. 15.5.19” See Evan Gill Inscriptional work No. 337.",about 1919,1919,13 ¼ x 16 ¼”,CEG433
ark:/21198/z10g5m93,ark:/21198/z1jd6xz0,4,Page 4,Page,,eric_gill/image/CEG434.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Collection of 6 pencil sketches, charts and finished drawings for Bisham Cross (Bisham, Berks). Includes two versions of mounted finished drawings signed “EG 29.1.1919”. 2 undated rough sketches, 1 plan (1 ½” scale) signd “EG 1.3.19”, and 1 “Bisham Cross (as carved)” chart signed “E.G. 15.5.19” See Evan Gill Inscriptional work No. 337.",1919 March 1,1919-03-01,13 x 16 ½”,CEG434
ark:/21198/z1vq53sb,ark:/21198/z1jd6xz0,5,Page 5,Page,,eric_gill/image/CEG435.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Collection of 6 pencil sketches, charts and finished drawings for Bisham Cross (Bisham, Berks). Includes two versions of mounted finished drawings signed “EG 29.1.1919”. 2 undated rough sketches, 1 plan (1 ½” scale) signd “EG 1.3.19”, and 1 “Bisham Cross (as carved)” chart signed “E.G. 15.5.19” See Evan Gill Inscriptional work No. 337.",1918 January 29,1919-01-29,9 ¼ x 13” mounted on sheet measuring 13 x 18 ½”,CEG435
ark:/21198/z1qz4c3g,ark:/21198/z1jd6xz0,6,Page 6,Page,,eric_gill/image/CEG436.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Collection of 6 pencil sketches, charts and finished drawings for Bisham Cross (Bisham, Berks). Includes two versions of mounted finished drawings signed “EG 29.1.1919”. 2 undated rough sketches, 1 plan (1 ½” scale) signd “EG 1.3.19”, and 1 “Bisham Cross (as carved)” chart signed “E.G. 15.5.19” See Evan Gill Inscriptional work No. 337.",1918 January 29,1919-01-29,9 ½ x 12 ¾” mounted on sheet measuring 13x 18 ½”,CEG436
