"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_001.tif","1","","Front Cover ","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/sw43zc5x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fsw43zc5x"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_002.tif","2","","Inside Front Cover","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/h008p740","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fh008p740"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_003.tif","3","","Page 1","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/hq11sf52","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fhq11sf52"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_004.tif","4","","Page 2","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/pp08t512","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fpp08t512"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_005.tif","5","","Page 3","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/r561km34","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fr561km34"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_006.tif","6","","Page 4","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/m130cp0d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fm130cp0d"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_007.tif","7","","Page 5","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/t782tc9s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Ft782tc9s"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_008.tif","8","","Page 6","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/sp936f14","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fsp936f14"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_009.tif","9","","Page 7","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/sm13n143","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fsm13n143"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_010.tif","10","","Page 8","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/cp48h463","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fcp48h463"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_011.tif","11","","Page 9","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/nr369p11","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fnr369p11"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_012.tif","12","","Page 10","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/rr78jz2d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Frr78jz2d"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_013.tif","13","","Page 11","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/dx14801w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fdx14801w"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_014.tif","14","","Page 12","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/zb31w08j","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fzb31w08j"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_015.tif","15","","Page 13","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/zq12hq98","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fzq12hq98"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_016.tif","16","","Page 14","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/5c072v0v","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2F5c072v0v"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_017.tif","17","","Page 15","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/rf63pv27","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Frf63pv27"
