File Name,Item Sequence,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Bucketeer State,IIIF Access URL
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_001.tif,1,Front cover,,,ark:/21198/z1903x57,ark:/21198/z1903x57/h008p740,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fh008p740
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_002.tif,2,Inside front cover,,,ark:/21198/z1903x57,ark:/21198/z1903x57/hq11sf52,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fhq11sf52
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_003.tif,3,Flyleaf 1r,,,ark:/21198/z1903x57,ark:/21198/z1903x57/pp08t512,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fpp08t512
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_004.tif,4,Flyleaf 1v,,,ark:/21198/z1903x57,ark:/21198/z1903x57/r561km34,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fr561km34
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_005.tif,5,Flyleaf 2r,,,ark:/21198/z1903x57,ark:/21198/z1903x57/m130cp0d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fm130cp0d
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_006.tif,6,Flyleaf 2v,,,ark:/21198/z1903x57,ark:/21198/z1903x57/t782tc9s,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Ft782tc9s
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_007.tif,7,Flyleaf 3r,,,ark:/21198/z1903x57,ark:/21198/z1903x57/sp936f14,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fsp936f14
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_008.tif,8,Flyleaf 3v,,,ark:/21198/z1903x57,ark:/21198/z1903x57/sm13n143,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fsm13n143
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_009.tif,9,Half-title,,,ark:/21198/z1903x57,ark:/21198/z1903x57/cp48h463,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fcp48h463
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_010.tif,10,[blank],,,ark:/21198/z1903x57,ark:/21198/z1903x57/nr369p11,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fnr369p11
