"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","IIIF Manifest URL"
"DIYALoG","ark:/21198/zz002h7p45","","2","Completed","Collection","","","","","","","","text","copyrighted","tur|~|lad","Periodicals","Y","DIYALoG","İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir","Diyalog","v. : ill.","2009","İzmir","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7292970","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002h7p45"
"DIYALoG","ark:/21198/zz002hc4hx","ark:/21198/zz002h7p45","2","Completed","Work","","1","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 001 - Ocak-Şubat 2009","İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc4hx/manifest"
"DIYALoG","ark:/21198/zz002hc6q0","ark:/21198/zz002h7p45","2","Completed","Work","","2","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 002 - Mart-Nisan 2009","Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc6q0/manifest"
"DIYALoG","ark:/21198/zz002hc6rh","ark:/21198/zz002h7p45","2","Completed","Work","","3","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 003 - Mayıs-Haziran 2009","İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc6rh/manifest"
"DIYALoG","ark:/21198/zz002hc6s1","ark:/21198/zz002h7p45","2","Completed","Work","","4","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 004 - Temmuz-Ağustos 2009","İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc6s1/manifest"
"DIYALoG","ark:/21198/zz002hc6tj","ark:/21198/zz002h7p45","2","Completed","Work","","5","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 005 - Eylül-Ekim 2009","İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc6tj/manifest"
"DIYALoG","ark:/21198/zz002hc6v2","ark:/21198/zz002h7p45","2","Completed","Work","","6","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 006 - Kasım-Aralık 2009","Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc6v2/manifest"
"DIYALoG","ark:/21198/zz002hc6wk","ark:/21198/zz002h7p45","2","Completed","Work","","7","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 007 - Ocak-Şubat 2010","İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc6wk/manifest"
"DIYALoG","ark:/21198/zz002hc6x3","ark:/21198/zz002h7p45","2","Completed","Work","","8","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 008 - Mart-Nisan 2010","İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc6x3/manifest"
"DIYALoG","ark:/21198/zz002hc6zm","ark:/21198/zz002h7p45","2","Completed","Work","","9","","","","individuals","","text","copyrighted","tur|~|lad","Periodicals","Y","Sayı: 009 - Mayıs-Haziran 2010","İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir","Diyalog","v. : ill.","2009","İzmir","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc6zm/manifest"
